origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-01,ARI incidence,2026-03-29,1,BG,median,,810.76575
2026-04-01,ARI incidence,2026-04-05,2,BG,median,,637.0479
2026-04-01,ARI incidence,2026-04-12,3,BG,median,,577.4101
2026-04-01,ARI incidence,2026-04-19,4,BG,median,,527.60925
2026-04-01,ARI incidence,2026-03-29,1,CY,median,,13039.42
2026-04-01,ARI incidence,2026-04-05,2,CY,median,,11897.157
2026-04-01,ARI incidence,2026-04-12,3,CY,median,,10955.025
2026-04-01,ARI incidence,2026-04-19,4,CY,median,,10562.834
2026-04-01,ARI incidence,2026-03-29,1,CZ,median,,901.0839
2026-04-01,ARI incidence,2026-04-05,2,CZ,median,,850.43243
2026-04-01,ARI incidence,2026-04-12,3,CZ,median,,793.0024
2026-04-01,ARI incidence,2026-04-19,4,CZ,median,,723.14233
2026-04-01,ARI incidence,2026-03-29,1,DE,median,,1118.3613
2026-04-01,ARI incidence,2026-04-05,2,DE,median,,1015.8093
2026-04-01,ARI incidence,2026-04-12,3,DE,median,,948.8941
2026-04-01,ARI incidence,2026-04-19,4,DE,median,,858.611
2026-04-01,ARI incidence,2026-03-29,1,EE,median,,196.94174
2026-04-01,ARI incidence,2026-04-05,2,EE,median,,194.43388
2026-04-01,ARI incidence,2026-04-12,3,EE,median,,186.75696
2026-04-01,ARI incidence,2026-04-19,4,EE,median,,179.27986
2026-04-01,ARI incidence,2026-03-29,1,ES,median,,404.16943
2026-04-01,ARI incidence,2026-04-05,2,ES,median,,389.4153
2026-04-01,ARI incidence,2026-04-12,3,ES,median,,379.3869
2026-04-01,ARI incidence,2026-04-19,4,ES,median,,366.5448
2026-04-01,ARI incidence,2026-03-29,1,FI,median,,2809.8542
2026-04-01,ARI incidence,2026-04-05,2,FI,median,,2741.8186
2026-04-01,ARI incidence,2026-04-12,3,FI,median,,2657.417
2026-04-01,ARI incidence,2026-04-19,4,FI,median,,2563.081
2026-04-01,ARI incidence,2026-03-29,1,FR,median,,143.90056
2026-04-01,ARI incidence,2026-04-05,2,FR,median,,134.26585
2026-04-01,ARI incidence,2026-04-12,3,FR,median,,119.31273
2026-04-01,ARI incidence,2026-04-19,4,FR,median,,103.216354
2026-04-01,ARI incidence,2026-03-29,1,HU,median,,1763.4374
2026-04-01,ARI incidence,2026-04-05,2,HU,median,,1478.3225
2026-04-01,ARI incidence,2026-04-12,3,HU,median,,1331.4021
2026-04-01,ARI incidence,2026-04-19,4,HU,median,,1115.5034
2026-04-01,ARI incidence,2026-03-29,1,IE,median,,49.73677
2026-04-01,ARI incidence,2026-04-05,2,IE,median,,48.548805
2026-04-01,ARI incidence,2026-04-12,3,IE,median,,46.80099
2026-04-01,ARI incidence,2026-04-19,4,IE,median,,40.328156
2026-04-01,ARI incidence,2026-03-29,1,IS,median,,68.64874
2026-04-01,ARI incidence,2026-04-05,2,IS,median,,68.446526
2026-04-01,ARI incidence,2026-04-12,3,IS,median,,67.3162
2026-04-01,ARI incidence,2026-04-19,4,IS,median,,67.395485
2026-04-01,ARI incidence,2026-03-29,1,IT,median,,791.8552
2026-04-01,ARI incidence,2026-04-05,2,IT,median,,762.59454
2026-04-01,ARI incidence,2026-04-12,3,IT,median,,742.8501
2026-04-01,ARI incidence,2026-04-19,4,IT,median,,746.92596
2026-04-01,ARI incidence,2026-03-29,1,LT,median,,714.7539
2026-04-01,ARI incidence,2026-04-05,2,LT,median,,658.685
2026-04-01,ARI incidence,2026-04-12,3,LT,median,,599.2515
2026-04-01,ARI incidence,2026-04-19,4,LT,median,,528.2446
2026-04-01,ARI incidence,2026-03-29,1,LU,median,,11272.382
2026-04-01,ARI incidence,2026-04-05,2,LU,median,,11080.642
2026-04-01,ARI incidence,2026-04-12,3,LU,median,,10699.398
2026-04-01,ARI incidence,2026-04-19,4,LU,median,,10020.352
2026-04-01,ARI incidence,2026-03-29,1,LV,median,,1124.8717
2026-04-01,ARI incidence,2026-04-05,2,LV,median,,1063.2714
2026-04-01,ARI incidence,2026-04-12,3,LV,median,,1017.4695
2026-04-01,ARI incidence,2026-04-19,4,LV,median,,943.62726
2026-04-01,ARI incidence,2026-03-29,1,NL,median,,211.30354
2026-04-01,ARI incidence,2026-04-05,2,NL,median,,199.39552
2026-04-01,ARI incidence,2026-04-12,3,NL,median,,190.20668
2026-04-01,ARI incidence,2026-04-19,4,NL,median,,184.88428
2026-04-01,ARI incidence,2026-03-29,1,PT,median,,26.980558
2026-04-01,ARI incidence,2026-04-05,2,PT,median,,26.873463
2026-04-01,ARI incidence,2026-04-12,3,PT,median,,24.753153
2026-04-01,ARI incidence,2026-04-19,4,PT,median,,22.604298
2026-04-01,ARI incidence,2026-03-29,1,RO,median,,760.85596
2026-04-01,ARI incidence,2026-04-05,2,RO,median,,713.4406
2026-04-01,ARI incidence,2026-04-12,3,RO,median,,657.11487
2026-04-01,ARI incidence,2026-04-19,4,RO,median,,561.9881
2026-04-01,ARI incidence,2026-03-29,1,SI,median,,1224.709
2026-04-01,ARI incidence,2026-04-05,2,SI,median,,1114.0378
2026-04-01,ARI incidence,2026-04-12,3,SI,median,,1016.1435
2026-04-01,ARI incidence,2026-04-19,4,SI,median,,890.42694
2026-04-01,ARI incidence,2026-03-29,1,SK,median,,1429.8198
2026-04-01,ARI incidence,2026-04-05,2,SK,median,,1330.3757
2026-04-01,ARI incidence,2026-04-12,3,SK,median,,1250.9287
2026-04-01,ARI incidence,2026-04-19,4,SK,median,,1173.6006
2026-04-01,ARI incidence,2026-03-29,1,GB-ENG,median,,257.99997
2026-04-01,ARI incidence,2026-04-05,2,GB-ENG,median,,250.08409
2026-04-01,ARI incidence,2026-04-12,3,GB-ENG,median,,243.09665
2026-04-01,ARI incidence,2026-04-19,4,GB-ENG,median,,238.01738
2026-04-01,ARI incidence,2026-03-29,1,GB-NIR,median,,186.90984
2026-04-01,ARI incidence,2026-04-05,2,GB-NIR,median,,180.47498
2026-04-01,ARI incidence,2026-04-12,3,GB-NIR,median,,175.83406
2026-04-01,ARI incidence,2026-04-19,4,GB-NIR,median,,168.32027
2026-04-01,ARI incidence,2026-03-29,1,GB-SCT,median,,161.36484
2026-04-01,ARI incidence,2026-04-05,2,GB-SCT,median,,155.2538
2026-04-01,ARI incidence,2026-04-12,3,GB-SCT,median,,150.9476
