origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.01,3198.709241863674
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.01,3047.720810946733
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.01,2668.427827116443
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.01,2270.5800028981125
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.01,1968.47922168996
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.01,1755.6000197967776
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.025,3216.540961705416
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.025,3071.4373196364254
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.025,2694.1879046060344
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.025,2310.1496182390733
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.025,1996.798712803186
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.025,1784.2741574198285
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.05,3243.6361678249023
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.05,3092.662133056232
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.05,2727.588854555941
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.05,2335.530986804048
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.05,2031.3664527326032
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.05,1805.4559461687256
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.1,3274.7703022484484
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.1,3120.9923720190554
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.1,2766.9181947097272
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.1,2384.658150079704
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.1,2067.037449544754
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.1,1843.8899133357304
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.15,3300.5059858973027
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.15,3145.161758690891
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.15,2797.9386855045573
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.15,2421.1872692774577
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.15,2101.068674250019
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.15,1872.1274178069907
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.2,3326.948019468669
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.2,3167.330037973849
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.2,2824.7319371832045
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.2,2451.234925594285
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.2,2138.5662895726496
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.2,1901.4674896746824
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.25,3345.432327022579
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.25,3192.8589544157835
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.25,2846.887715272341
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.25,2477.868939578193
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.25,2161.592554456315
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.25,1929.681315872201
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.3,3366.41385649148
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.3,3210.4228676015546
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.3,2876.0240948844616
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.3,2501.3378658563843
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.3,2188.550313830549
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.3,1951.804390568736
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.35,3385.644870648939
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.35,3234.251892007101
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.35,2899.914898649901
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.35,2529.7212934966005
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.35,2210.297940688059
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.35,1972.625585069584
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.4,3401.1509919390887
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.4,3253.501045557333
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.4,2922.794583012823
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.4,2557.076138663971
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.4,2234.223186735668
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.4,1992.8178230175288
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.45,3417.1292962312896
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.45,3268.263203040526
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.45,2944.235412951987
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.45,2587.6018513592235
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.45,2265.5824089115367
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.45,2016.3758248856527
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.5,3438.519220199453
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.5,3284.205084110912
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.5,2967.003982003356
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.5,2618.4493682179464
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.5,2291.425814639488
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.5,2037.7069872199831
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.55,3457.5082164459814
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.55,3301.7665677050145
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.55,2989.9483627800346
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.55,2648.068870065701
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.55,2324.8707979965907
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.55,2065.888705904828
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.6,3479.649021724511
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.6,3320.891050035772
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.6,3029.275411448777
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.6,2683.65292170135
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.6,2349.031500597104
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.6,2102.106412133094
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.65,3497.166516177486
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.65,3340.4481370150493
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.65,3062.775231455038
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.65,2722.670916039339
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.65,2400.0849783633976
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.65,2129.6957302696496
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.7,3520.822665317496
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.7,3362.1336473304204
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.7,3091.067201113494
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.7,2760.2000401060573
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.7,2437.3709007257544
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.7,2168.464809408817
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.75,3538.069833537952
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.75,3385.786886720468
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.75,3132.3648465430747
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.75,2810.9514628955103
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.75,2483.965596983287
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.75,2203.9532722805507
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.8,3558.304135689302
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.8,3403.2916441893544
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.8,3172.5498567255545
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.8,2849.2784821777414
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.8,2526.120852152103
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.8,2245.0685298915687
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.85,3583.4672608470046
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.85,3426.645206079428
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.85,3202.799710243111
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.85,2902.8858035520475
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.85,2580.3159107619767
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.85,2289.500325223344
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.9,3626.780533160512
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.9,3463.737838625787
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.9,3264.805536089076
2026-01-28,ILI incidence,2026-02-01,2,AT,quantile,0.9,2981.1893664517056
2026-01-28,ILI incidence,2026-02-08,3,AT,quantile,0.9,2662.867818608069
2026-01-28,ILI incidence,2026-02-15,4,AT,quantile,0.9,2364.6961631820927
2026-01-28,ILI incidence,2026-01-11,-1,AT,quantile,0.95,3669.128721447014
2026-01-28,ILI incidence,2026-01-18,0,AT,quantile,0.95,3507.344182338157
2026-01-28,ILI incidence,2026-01-25,1,AT,quantile,0.95,3335.995580690049
