origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.01,8.248328572138185
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.01,7.99621461190411
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.01,6.877447157793251
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.01,5.707342772039616
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.01,4.727311814134511
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.01,3.8794187185220994
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.025,8.250368836890267
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.025,8.000276149183557
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.025,6.980591999686294
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.025,5.830595194601176
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.025,4.8247671103446805
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.025,3.991657563347201
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.05,8.253769278143741
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.05,8.007045377982639
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.05,7.15250006950803
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.05,6.036015898870443
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.05,4.987192604028296
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.05,4.178722304722371
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.1,8.337844262228142
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.1,8.032860631312719
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.1,7.271159180392023
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.1,6.157079836653038
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.1,5.191567728289731
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.1,4.252340640534719
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.15,8.366155187244434
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.15,8.052777812912906
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.15,7.384524637024742
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.15,6.2697297767392905
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.15,5.3136121214904
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.15,4.585727306302954
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.2,8.500834298550767
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.2,8.081548954597354
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.2,7.425468149204043
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.2,6.362935440767752
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.2,5.37687286818696
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.2,4.738685673647124
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.25,8.61317604751828
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.25,8.098575850483702
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.25,7.432360436898978
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.25,6.407688489028663
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.25,5.629447271831656
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.25,4.811051467467981
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.3,8.653803366092644
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.3,8.103190846772295
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.3,7.444860862083148
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.3,6.536720303533452
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.3,5.931454940632312
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.3,4.916506509475571
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.35,8.680163599568363
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.35,8.135153367965067
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.35,7.476626639216692
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.35,6.751987811862402
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.35,6.05528627595436
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.35,4.988786467838508
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.4,8.700206009022002
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.4,8.203406881149164
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.4,7.548049630957
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.4,6.856568106937419
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.4,6.117036210119487
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.4,5.065444192453338
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.45,8.762861006036836
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.45,8.227014286987805
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.45,7.6288909930562685
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.45,6.949420851729383
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.45,6.183279998345583
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.45,5.298792321060273
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.5,8.811781056938395
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.5,8.31254940815861
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.5,7.664721062276866
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.5,7.030939118269225
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.5,6.294887521564197
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.5,5.406500194532417
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.55,8.826364662179717
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.55,8.478014787261811
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.55,7.744684478143326
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.55,7.066306351225579
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.55,6.330270769340055
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.55,5.455807705663566
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.6,8.884301031779687
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.6,8.54841222985581
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.6,7.868235997510776
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.6,7.094206512253564
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.6,6.3882132660325
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.6,5.50847252976738
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.65,9.089334356234684
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.65,8.590025828878874
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.65,7.976406475011751
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.65,7.107423118276016
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.65,6.410013667333796
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.65,5.550747384327936
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.7,9.295219525164873
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.7,8.714485348422512
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.7,8.026311656369396
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.7,7.132920878434727
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.7,6.455704361109181
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.7,5.5937586594122175
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.75,9.38262160153426
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.75,8.87939810422726
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.75,8.042356651552929
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.75,7.221371911192683
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.75,6.587136012969148
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.75,5.687035120655169
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.8,9.407261678847544
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.8,8.977849471337043
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.8,8.174870225031311
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.8,7.3322415376543635
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.8,6.692293521337414
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.8,5.76183250213855
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.85,9.461409672922748
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.85,9.03145372656443
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.85,8.43894987251433
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.85,7.434509328134942
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.85,6.75058730215314
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.85,5.812616289185855
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.9,9.645783916538706
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.9,9.244576625930858
2025-10-01,ILI incidence,2025-09-28,1,CZ,quantile,0.9,8.666621407426508
2025-10-01,ILI incidence,2025-10-05,2,CZ,quantile,0.9,7.5897150932004465
2025-10-01,ILI incidence,2025-10-12,3,CZ,quantile,0.9,6.888529716720424
2025-10-01,ILI incidence,2025-10-19,4,CZ,quantile,0.9,6.027403655090162
2025-10-01,ILI incidence,2025-09-14,-1,CZ,quantile,0.95,10.18228948581335
2025-10-01,ILI incidence,2025-09-21,0,CZ,quantile,0.95,9.715122818372253
