origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.01,2895.960681416219
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.025,2932.698487374901
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.05,2965.1568813901595
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.1,3011.652886942649
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.15,3039.0540427839
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.2,3063.1480617060374
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.25,3085.4300267753506
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.3,3104.8905954457555
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.35,3126.183476177276
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.4,3144.5865583795485
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.45,3164.4477293262444
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.5,3184.773852242898
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.55,3202.1702806110607
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.6,3221.011318301684
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.65,3240.95049566789
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.7,3263.875536283625
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.75,3286.538238865602
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.8,3311.935268656065
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.85,3342.506928910864
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.9,3373.939020602919
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.95,3421.018869109565
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.975,3449.4935045926045
2026-02-11,ILI incidence,-1,2026-01-25,AT,quantile,0.99,3482.776603104526
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.01,2874.12816019936
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.025,2879.8818496008985
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.05,2891.5383111596784
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.1,2914.3441824564807
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.15,2934.5834226255383
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.2,2957.8463644770145
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.25,2980.034903810627
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.3,3001.9406673235
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.35,3024.323071195995
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.4,3046.691792080431
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.45,3067.8630444040805
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.5,3090.122933835868
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.55,3110.3215163852624
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.6,3133.581658517259
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.65,3156.153890793459
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.7,3180.104362905832
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.75,3206.746097738144
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.8,3238.0359624928865
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.85,3272.0955547734093
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.9,3316.2787123731605
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.95,3376.8136631920097
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.975,3421.524417403245
2026-02-11,ILI incidence,0,2026-02-01,AT,quantile,0.99,3467.749293217431
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.01,2708.282124677421
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.025,2764.116862365139
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.05,2816.303358165179
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.1,2878.73676007458
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.15,2930.7953082003296
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.2,2975.1749551395023
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.25,3012.2549626238824
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.3,3050.7446307363875
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.35,3086.3134331255574
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.4,3121.8415263883703
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.45,3158.3579711587163
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.5,3192.21002295558
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.55,3223.7682009054784
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.6,3264.025290029228
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.65,3307.630219868828
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.7,3352.3169704777074
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.75,3394.488641823299
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.8,3452.21627684183
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.85,3515.6926522023514
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.9,3599.691977030029
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.95,3731.832072950611
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.975,3830.087871582452
2026-02-11,ILI incidence,1,2026-02-08,AT,quantile,0.99,3950.656178031032
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.01,2515.9103698149847
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.025,2590.2388529690097
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.05,2660.933513390431
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.1,2738.424340927814
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.15,2798.871472189837
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.2,2852.268337079994
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.25,2902.275923479588
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.3,2947.157469725258
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.35,2993.5796521013967
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.4,3037.319119300525
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.45,3082.2659659044066
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.5,3128.5497344740347
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.55,3173.378766927316
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.6,3220.7328715595468
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.65,3272.043948819993
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.7,3328.828756723525
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.75,3389.162232912836
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.8,3455.983099121547
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.85,3543.4061280773844
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.9,3651.434943988712
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.95,3814.07649005592
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.975,3944.027615375735
2026-02-11,ILI incidence,2,2026-02-15,AT,quantile,0.99,4116.815633867473
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.01,2286.6319166172857
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.025,2369.543572002073
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.05,2429.758660582392
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.1,2501.937963264423
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.15,2547.7190284213466
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.2,2588.7159317162227
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.25,2625.3703726596177
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.3,2658.6445242451487
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.35,2691.7435634302115
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.4,2725.6871160646524
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.45,2756.5273037569546
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.5,2784.498428182153
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.55,2818.5698976393087
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.6,2850.110832211683
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.65,2887.7245595019267
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.7,2925.295598099463
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.75,2970.684657475367
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.8,3015.250557110548
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.85,3068.386930981525
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.9,3137.362985853388
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.95,3244.7459653462097
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.975,3329.555329904524
2026-02-11,ILI incidence,3,2026-02-22,AT,quantile,0.99,3429.5793412524617
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.01,2083.2764250653504
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.025,2150.222957340297
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.05,2210.4393505815547
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.1,2272.38170599718
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.15,2321.518392667938
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.2,2358.835539167588
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.25,2392.11865459038
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.3,2423.613683206192
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.35,2452.920803865709
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.4,2480.422485290276
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.45,2504.605744505259
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.5,2528.433045525414
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.55,2555.7485457006446
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.6,2584.4094734979594
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.65,2616.501655915185
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.7,2649.891267278104
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.75,2689.828386214941
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.8,2731.7365052999844
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.85,2781.419014850799
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.9,2844.600507242
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.95,2924.523610904188
2026-02-11,ILI incidence,4,2026-03-01,AT,quantile,0.975,2992.698757411408
