origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.01,445.00
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.01,242.99
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.01,123.76
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.01,58.88
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.025,453.73
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.025,257.14
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.025,133.59
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.025,63.94
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.05,466.48
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.05,267.92
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.05,144.46
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.05,70.99
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.1,484.94
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.1,283.18
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.1,154.28
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.1,79.10
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.15,502.69
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.15,294.88
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.15,162.10
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.15,84.58
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.2,523.50
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.2,307.39
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.2,170.76
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.2,90.26
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.25,542.00
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.25,321.60
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.25,179.94
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.25,96.20
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.3,560.30
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.3,335.25
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.3,188.59
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.3,101.30
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.35,579.06
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.35,346.53
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.35,196.56
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.35,105.51
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.4,596.12
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.4,358.30
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.4,203.84
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.4,110.22
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.45,611.32
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.45,369.30
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.45,210.64
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.45,113.73
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.5,626.93
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.5,381.96
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.5,218.15
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.5,118.30
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.55,651.42
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.55,397.22
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.55,229.05
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.55,124.27
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.6,674.08
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.6,414.25
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.6,240.08
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.6,131.33
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.65,701.31
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.65,434.96
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.65,252.58
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.65,138.23
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.7,730.17
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.7,454.49
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.7,265.66
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.7,146.63
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.75,758.23
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.75,477.48
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.75,282.16
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.75,156.33
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.8,793.22
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.8,505.28
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.8,301.09
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.8,168.80
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.85,833.18
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.85,535.80
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.85,327.06
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.85,185.43
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.9,886.49
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.9,586.96
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.9,360.03
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.9,206.97
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.95,981.60
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.95,652.80
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.95,402.33
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.95,232.57
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.975,1049.16
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.975,711.21
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.975,454.55
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.975,269.67
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.99,1109.84
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.99,761.27
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.99,488.56
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.99,293.82
2026-04-01,ILI incidence,2026-03-29,1,BE,quantile,0.01,26.88
2026-04-01,ILI incidence,2026-04-05,2,BE,quantile,0.01,16.30
2026-04-01,ILI incidence,2026-04-12,3,BE,quantile,0.01,9.50
2026-04-01,ILI incidence,2026-04-19,4,BE,quantile,0.01,5.30
2026-04-01,ILI incidence,2026-03-29,1,BE,quantile,0.025,27.51
2026-04-01,ILI incidence,2026-04-05,2,BE,quantile,0.025,16.62
2026-04-01,ILI incidence,2026-04-12,3,BE,quantile,0.025,9.70
2026-04-01,ILI incidence,2026-04-19,4,BE,quantile,0.025,5.50
2026-04-01,ILI incidence,2026-03-29,1,BE,quantile,0.05,28.00
2026-04-01,ILI incidence,2026-04-05,2,BE,quantile,0.05,16.90
2026-04-01,ILI incidence,2026-04-12,3,BE,quantile,0.05,10.00
