origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.01,1748.6418586334157
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.025,1831.4741728043712
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.05,1906.0921676010219
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.1,1977.6935270719964
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.15,2034.364885232639
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.2,2077.419030055852
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.25,2117.842567075835
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.3,2149.4603032452965
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.35,2177.4315658367145
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.4,2209.072601946445
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.45,2236.957044660681
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.5,2266.248747599399
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.55,2291.651574298031
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.6,2320.663658585324
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.65,2349.0863454143323
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.7,2379.812185823677
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.75,2414.7015570557955
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.8,2452.978441332813
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.85,2494.159736763516
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.9,2547.2256519017783
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.95,2626.440798512663
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.975,2706.897034938607
2026-02-04,ILI incidence,2026-02-01,1,AT,quantile,0.99,2793.4997487364976
2026-02-04,ILI incidence,2026-02-01,1,AT,median,,2266.248747599399
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.01,1218.7840499293334
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.025,1383.9584674772252
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.05,1525.4427770879377
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.1,1682.5742952268997
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.15,1796.9834215367332
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.2,1882.381437779553
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.25,1957.9262491944294
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.3,2021.886130815101
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.35,2078.031656001224
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.4,2138.434138379095
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.45,2191.4293741266456
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.5,2247.491833718356
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.55,2300.287422400044
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.6,2356.228226658104
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.65,2414.558304758113
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.7,2478.7085268447
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.75,2546.393336796572
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.8,2620.0582129642858
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.85,2706.1428521060875
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.9,2817.1447069054657
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.95,2973.983153243783
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.975,3126.085491611205
2026-02-04,ILI incidence,2026-02-08,2,AT,quantile,0.99,3292.9390578004586
2026-02-04,ILI incidence,2026-02-08,2,AT,median,,2247.491833718356
2026-02-04,ILI incidence,2026-02-15,3,AT,quantile,0.01,610.1934157735818
2026-02-04,ILI incidence,2026-02-15,3,AT,quantile,0.025,866.3152691625965
2026-02-04,ILI incidence,2026-02-15,3,AT,quantile,0.05,1081.6048278812505
2026-02-04,ILI incidence,2026-02-15,3,AT,quantile,0.1,1317.3641423911722
2026-02-04,ILI incidence,2026-02-15,3,AT,quantile,0.15,1485.7773666835512
2026-02-04,ILI incidence,2026-02-15,3,AT,quantile,0.2,1613.5990232312604
