origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.01,153.07891418349595
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.025,158.8292941509343
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.05,163.9463035816353
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.1,170.04953841369198
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.15,174.29443873272533
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.2,177.74315755032208
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.25,182.10972081434096
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.3,186.24655077196255
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.35,190.16332243006596
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.4,193.33612370106204
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.45,195.833428816397
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.5,198.32247029266054
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.55,202.2792148834932
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.6,207.71897695746944
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.65,210.5001050465724
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.7,213.46220020051996
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.75,216.70532407742633
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.8,220.3744413506624
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.85,224.72936652207684
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.9,230.33077354487605
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.95,238.88959894017185
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.975,246.5691283117157
2026-08-19,ARI incidence,2026-08-16,1,BE,quantile,0.99,256.87493618033596
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.01,130.0141453796446
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.025,138.41430285711897
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.05,148.10069133317364
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.1,160.50085604784218
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.15,166.95640621430582
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.2,175.0267990110823
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.25,179.85061765898655
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.3,183.13776407220413
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.35,189.51486116106187
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.4,193.35114235808499
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.45,199.31852466738945
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.5,205.5363640812973
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.55,212.05638800251805
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.6,218.13244741670954
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.65,224.4407805034089
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.7,232.09801012256517
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.75,242.12913412106266
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.8,247.61622061579266
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.85,259.0432174035303
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.9,276.78625660890236
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.95,298.54151455139794
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.975,318.58028046018524
2026-08-19,ARI incidence,2026-08-23,2,BE,quantile,0.99,343.5712061772765
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.01,112.59771316055136
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.025,125.88348341599506
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.05,138.54628427832182
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.1,154.72191364275022
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.15,166.59257003943327
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.2,175.44632855437257
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.25,182.7888651268467
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.3,188.06550414386322
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.35,195.36060936818794
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.4,203.2624381400105
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.45,209.12873378750697
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.5,218.10823493829744
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.55,225.82482937260167
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.6,235.22715397334582
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.65,245.35498605376512
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.7,256.49846965461984
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.75,269.0901956055518
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.8,282.91697664142066
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.85,301.0356416738456
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.9,325.3539624013801
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.95,366.75646389471564
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.975,405.6155574579231
2026-08-19,ARI incidence,2026-08-30,3,BE,quantile,0.99,457.77998626711866
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.01,110.71607207357748
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.025,125.42645776391574
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.05,139.61839039242733
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.1,157.96903982016144
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.15,171.68469839554308
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.2,182.77445609754005
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.25,190.80828160354142
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.3,198.3217777775697
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.35,204.84925218964014
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.4,215.03659870464418
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.45,224.65981299598627
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.5,233.99296219899156
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.55,241.36238301580863
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.6,249.83500660703805
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.65,262.09250380839967
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.7,274.59659971163666
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.75,288.5824363823479
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.8,305.2488905234456
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.85,325.21915913068693
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.9,352.6864000674133
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.95,401.48074593401117
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.975,447.7427829525397
2026-08-19,ARI incidence,2026-09-06,4,BE,quantile,0.99,508.2588279979707
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.01,136.9521298994559
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.025,142.12121267456973
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.05,146.72156579308563
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.1,152.86118707905354
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.15,156.67920662661888
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.2,159.87616287504076
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.25,162.58750450418188
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.3,165.48156506076967
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.35,167.92522256319663
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.4,170.62729481948102
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.45,173.42325881926098
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.5,179.01291901447416
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.55,183.09712625337
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.6,185.66629085717483
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.65,188.1461162680754
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.7,192.00936690777863
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.75,195.04640495004648
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.8,198.35814411539508
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.85,202.28905581430308
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.9,207.34534241017997
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.95,215.07177680966976
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.975,222.00497106988698
2026-08-19,ARI incidence,2026-08-16,1,BG,quantile,0.99,230.34650383071514
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.01,125.21708796349758
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.025,133.20836319322459
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.05,140.484829228247
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.1,148.92248207900963
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.15,155.66935820785605
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.2,160.8677643358235
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.25,165.4647853244228
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.3,169.42856479340912
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.35,173.60972017700422
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.4,177.1239748642945
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.45,181.38485109790454
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.5,185.67767287578476
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.55,189.3481434828717
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.6,192.38896020752156
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.65,197.25069961157368
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.7,204.36720035681196
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.75,209.6070058809412
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.8,214.39552532063877
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.85,221.50408436576757
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.9,230.0264630718992
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.95,244.5267929294085
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.975,259.1830712187496
2026-08-19,ARI incidence,2026-08-23,2,BG,quantile,0.99,278.2731443191846
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.01,116.07337109365385
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.025,126.20924083011856
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.05,135.63596071062895
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.1,147.36772925308944
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.15,155.84702712415316
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.2,162.93039601743305
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.25,169.36304977668647
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.3,175.15553077176992
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.35,180.79901529517934
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.4,186.32121806348948
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.45,191.21142450253444
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.5,195.21343686754312
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.55,201.51566785480458
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.6,207.1805675165119
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.65,213.20227590264994
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.7,221.76510265802597
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.75,227.01250089198513
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.8,239.1091719213283
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.85,250.99733620932383
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.9,270.49452448549926
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.95,294.4584642095084
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.975,320.0459590082927
2026-08-19,ARI incidence,2026-08-30,3,BG,quantile,0.99,345.65072158436794
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.01,115.93064226858284
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.025,126.32962617139093
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.05,136.01006619063216
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.1,148.55769976792422
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.15,158.56881606088962
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.2,167.00113015374365
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.25,174.58955524120898
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.3,181.6958687140668
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.35,189.5597321697653
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.4,198.25297047297568
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.45,203.66952182979634
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.5,208.85922596244376
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.55,215.9476636037653
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.6,222.09918440864163
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.65,230.28968794357948
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.7,240.06253081273684
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.75,249.1904965485762
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.8,260.6720875367249
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.85,277.7779496232134
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.9,296.8789386143956
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.95,329.7492605361684
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.975,362.11491561474463
2026-08-19,ARI incidence,2026-09-06,4,BG,quantile,0.99,402.8941288777221
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.01,1675.7904544087196
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.025,1916.947693898897
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.05,2162.647150096823
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.1,2475.616666901301
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.15,2711.968493195474
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.2,2915.7984153845787
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.25,3105.207540732555
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.3,3295.5386643396855
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.35,3482.304099207
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.4,3669.300926797406
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.45,3851.2999059328317
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.5,4050.2805560865872
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.55,4249.832108067003
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.6,4485.366900827411
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.65,4726.211901426789
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.7,4997.8242549699635
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.75,5307.745940109523
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.8,5675.522145795727
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.85,6136.489248002235
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.9,6770.038201689913
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.95,7876.214691699468
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.975,8970.66427602303
2026-08-19,ARI incidence,2026-08-16,1,CY,quantile,0.99,10415.653486540277
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.01,1666.9194085915578
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.025,1922.1302992789317
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.05,2176.925018987081
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.1,2467.033437604329
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.15,2704.675962138407
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.2,2891.2928361041077
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.25,3098.0530373983693
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.3,3310.510460444356
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.35,3528.4569145299765
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.4,3685.284026167872
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.45,3843.2421087224775
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.5,4005.3027654355164
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.55,4174.195368657509
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.6,4353.103409937669
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.65,4563.946677430993
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.7,4857.517187251002
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.75,5138.847272431826
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.8,5471.333026190338
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.85,5886.127477306816
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.9,6452.988450357148
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.95,7395.098198038677
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.975,8322.916390022028
2026-08-19,ARI incidence,2026-08-23,2,CY,quantile,0.99,9549.017356560544
2026-08-19,ARI incidence,2026-08-30,3,CY,quantile,0.01,1665.654555158291
2026-08-19,ARI incidence,2026-08-30,3,CY,quantile,0.025,1919.643840788553
2026-08-19,ARI incidence,2026-08-30,3,CY,quantile,0.05,2167.5549030601765
2026-08-19,ARI incidence,2026-08-30,3,CY,quantile,0.1,2493.349687050413
2026-08-19,ARI incidence,2026-08-30,3,CY,quantile,0.15,2740.384680022967
