origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.01,1454.6238651033452
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.025,1563.728471971186
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.05,1662.5610144092886
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.1,1782.4628894403697
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.15,1867.0828926609854
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.2,1936.5365776078881
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.25,1997.7077960136414
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.3,2053.9120361301243
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.35,2107.0837976510265
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.4,2158.522225406737
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.45,2209.2135341500993
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.5,2260.0000000000005
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.55,2311.6895092494315
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.6,2365.148463659282
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.65,2421.407580314021
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.7,2481.8164784665837
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.75,2548.314839380285
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.8,2623.985243288929
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.85,2714.3806801117694
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.9,2831.537682387624
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.95,3012.371825967823
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.975,3176.3773018501283
2026-03-04,ILI incidence,2026-03-01,1,AT,quantile,0.99,3375.7068924612654
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.01,70.3201157100419
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.025,82.21201519327018
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.05,93.38440211106136
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.1,107.38854899627484
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.15,117.53710343734619
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.2,126.01522379572155
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.25,133.58508072260256
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.3,140.61982387451388
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.35,147.3411879120214
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.4,153.90146816685672
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.45,160.41950053316253
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.5,166.99999999999991
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.55,173.74665249316732
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.6,180.77388540043208
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.65,188.22100206163836
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.7,196.2735293724948
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.75,205.2012796718025
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.8,215.43654012195748
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.85,227.76258951379387
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.9,243.88537099317315
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.95,269.06355432501186
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.975,292.1675595078994
2026-03-04,ILI incidence,2026-03-01,1,BE,quantile,0.99,320.54330056641834
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.01,16.486755255271856
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.025,18.210588916709735
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.05,19.83666875628377
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.1,21.89244461862093
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.15,23.398522445260138
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.2,24.66906033959233
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.25,25.81391189021956
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.3,26.887233842115815
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.35,27.921624216263154
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.4,28.93993197149413
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.45,29.960490356532265
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.5,31
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.55,32.075576486366614
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.6,33.20671247418917
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.65,34.41776855661063
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.7,35.74186938095142
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.75,37.22798791933996
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.8,38.95567916941102
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.85,41.07096942758754
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.9,43.89642256683421
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.95,48.44563428501967
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.975,52.7714948920846
2026-03-04,ILI incidence,2026-03-01,1,CZ,quantile,0.99,58.28921368215904
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.01,141.21335703976806
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.025,152.95409081862178
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.05,163.63723893840591
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.1,176.65337207448414
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.15,185.873183111926
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.2,193.45998804916422
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.25,200.1558234133963
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.3,206.3188425176549
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.35,212.15855039004657
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.4,217.8161096558157
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.45,223.39913564786383
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.5,229.00000000000003
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.55,234.70777531672007
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.6,240.61846200946198
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.65,246.8467417777154
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.7,253.5432545412986
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.75,260.92499825998755
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.8,269.3374038061994
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.85,279.40353285333003
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.9,292.47547721037165
2026-03-04,ILI incidence,2026-03-01,1,EE,quantile,0.95,312.7056296906982
