target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2025-12-24,2025-12-21,0.01,1,quantile,764.953006551243
ILI incidence,AT,2025-12-24,2025-12-21,0.025,1,quantile,898.862275502413
ILI incidence,AT,2025-12-24,2025-12-21,0.05,1,quantile,1114.6110612478
ILI incidence,AT,2025-12-24,2025-12-21,0.1,1,quantile,1354.77856925499
ILI incidence,AT,2025-12-24,2025-12-21,0.15,1,quantile,1513.25644849993
ILI incidence,AT,2025-12-24,2025-12-21,0.2,1,quantile,1641.24878271532
ILI incidence,AT,2025-12-24,2025-12-21,0.25,1,quantile,1811.86615923651
ILI incidence,AT,2025-12-24,2025-12-21,0.3,1,quantile,1914.87886512963
ILI incidence,AT,2025-12-24,2025-12-21,0.35,1,quantile,2027.40280228842
ILI incidence,AT,2025-12-24,2025-12-21,0.4,1,quantile,2138.45449188408
ILI incidence,AT,2025-12-24,2025-12-21,0.45,1,quantile,2288.87205208115
ILI incidence,AT,2025-12-24,2025-12-21,0.5,1,quantile,2408.01527231361
ILI incidence,AT,2025-12-24,2025-12-21,0.55,1,quantile,2550.29696201774
ILI incidence,AT,2025-12-24,2025-12-21,0.6,1,quantile,2703.61055272071
ILI incidence,AT,2025-12-24,2025-12-21,0.65,1,quantile,2834.5424628793
ILI incidence,AT,2025-12-24,2025-12-21,0.7,1,quantile,3023.67841458419
ILI incidence,AT,2025-12-24,2025-12-21,0.75,1,quantile,3233.78924616395
ILI incidence,AT,2025-12-24,2025-12-21,0.8,1,quantile,3446.19117834349
ILI incidence,AT,2025-12-24,2025-12-21,0.85,1,quantile,3690.32986561815
ILI incidence,AT,2025-12-24,2025-12-21,0.9,1,quantile,3991.65708316637
ILI incidence,AT,2025-12-24,2025-12-21,0.95,1,quantile,4439.82470198309
ILI incidence,AT,2025-12-24,2025-12-21,0.975,1,quantile,4930.07262550682
ILI incidence,AT,2025-12-24,2025-12-21,0.99,1,quantile,5658.15829203513
ILI incidence,AT,2025-12-24,2025-12-28,0.01,2,quantile,632.107239157323
ILI incidence,AT,2025-12-24,2025-12-28,0.025,2,quantile,757.274536153613
ILI incidence,AT,2025-12-24,2025-12-28,0.05,2,quantile,894.958727430262
ILI incidence,AT,2025-12-24,2025-12-28,0.1,2,quantile,1141.42516635004
ILI incidence,AT,2025-12-24,2025-12-28,0.15,2,quantile,1267.46496654988
ILI incidence,AT,2025-12-24,2025-12-28,0.2,2,quantile,1429.90414900415
ILI incidence,AT,2025-12-24,2025-12-28,0.25,2,quantile,1536.41796930578
ILI incidence,AT,2025-12-24,2025-12-28,0.3,2,quantile,1680.97474095195
ILI incidence,AT,2025-12-24,2025-12-28,0.35,2,quantile,1814.53584372444
ILI incidence,AT,2025-12-24,2025-12-28,0.4,2,quantile,1982.79503687515
ILI incidence,AT,2025-12-24,2025-12-28,0.45,2,quantile,2127.90590072619
ILI incidence,AT,2025-12-24,2025-12-28,0.5,2,quantile,2264.75787866814
ILI incidence,AT,2025-12-24,2025-12-28,0.55,2,quantile,2470.13994496526
ILI incidence,AT,2025-12-24,2025-12-28,0.6,2,quantile,2664.89254863551
ILI incidence,AT,2025-12-24,2025-12-28,0.65,2,quantile,2866.00211703081
ILI incidence,AT,2025-12-24,2025-12-28,0.7,2,quantile,3081.28740305191
ILI incidence,AT,2025-12-24,2025-12-28,0.75,2,quantile,3257.15940631682
ILI incidence,AT,2025-12-24,2025-12-28,0.8,2,quantile,3542.64209355717
ILI incidence,AT,2025-12-24,2025-12-28,0.85,2,quantile,3834.71929057464
ILI incidence,AT,2025-12-24,2025-12-28,0.9,2,quantile,4216.29711610304
ILI incidence,AT,2025-12-24,2025-12-28,0.95,2,quantile,4825.38010843505
ILI incidence,AT,2025-12-24,2025-12-28,0.975,2,quantile,5424.37733030928
ILI incidence,AT,2025-12-24,2025-12-28,0.99,2,quantile,6333.65661976096
ILI incidence,AT,2025-12-24,2026-01-04,0.01,3,quantile,400.777398431326
ILI incidence,AT,2025-12-24,2026-01-04,0.025,3,quantile,598.224838615974
ILI incidence,AT,2025-12-24,2026-01-04,0.05,3,quantile,699.201126781959
ILI incidence,AT,2025-12-24,2026-01-04,0.1,3,quantile,884.218948131743
ILI incidence,AT,2025-12-24,2026-01-04,0.15,3,quantile,1062.94404311081
ILI incidence,AT,2025-12-24,2026-01-04,0.2,3,quantile,1188.35611171576
ILI incidence,AT,2025-12-24,2026-01-04,0.25,3,quantile,1342.8873033791
ILI incidence,AT,2025-12-24,2026-01-04,0.3,3,quantile,1454.70036038888
ILI incidence,AT,2025-12-24,2026-01-04,0.35,3,quantile,1606.80630974374
ILI incidence,AT,2025-12-24,2026-01-04,0.4,3,quantile,1757.76090432843
ILI incidence,AT,2025-12-24,2026-01-04,0.45,3,quantile,1932.28024674077
ILI incidence,AT,2025-12-24,2026-01-04,0.5,3,quantile,2113.82968238691
ILI incidence,AT,2025-12-24,2026-01-04,0.55,3,quantile,2333.81974117564
ILI incidence,AT,2025-12-24,2026-01-04,0.6,3,quantile,2515.70311634363
ILI incidence,AT,2025-12-24,2026-01-04,0.65,3,quantile,2702.60818075867
ILI incidence,AT,2025-12-24,2026-01-04,0.7,3,quantile,2958.78371301719
ILI incidence,AT,2025-12-24,2026-01-04,0.75,3,quantile,3221.18347522464
ILI incidence,AT,2025-12-24,2026-01-04,0.8,3,quantile,3557.57653650486
ILI incidence,AT,2025-12-24,2026-01-04,0.85,3,quantile,3880.12313103942
ILI incidence,AT,2025-12-24,2026-01-04,0.9,3,quantile,4264.25375135252
ILI incidence,AT,2025-12-24,2026-01-04,0.95,3,quantile,5080.65075938384
ILI incidence,AT,2025-12-24,2026-01-04,0.975,3,quantile,5976.9161934111
ILI incidence,AT,2025-12-24,2026-01-04,0.99,3,quantile,6828.98706226057
ILI incidence,AT,2025-12-24,2026-01-11,0.01,4,quantile,318.991179017107
ILI incidence,AT,2025-12-24,2026-01-11,0.025,4,quantile,438.254160803222
ILI incidence,AT,2025-12-24,2026-01-11,0.05,4,quantile,530.600097612814
ILI incidence,AT,2025-12-24,2026-01-11,0.1,4,quantile,714.268845000511
ILI incidence,AT,2025-12-24,2026-01-11,0.15,4,quantile,836.424939851353
ILI incidence,AT,2025-12-24,2026-01-11,0.2,4,quantile,973.122144707681
ILI incidence,AT,2025-12-24,2026-01-11,0.25,4,quantile,1103.57014919483
ILI incidence,AT,2025-12-24,2026-01-11,0.3,4,quantile,1294.27282134205
ILI incidence,AT,2025-12-24,2026-01-11,0.35,4,quantile,1436.12235987799
ILI incidence,AT,2025-12-24,2026-01-11,0.4,4,quantile,1599.46648365843
ILI incidence,AT,2025-12-24,2026-01-11,0.45,4,quantile,1800.34568625779
ILI incidence,AT,2025-12-24,2026-01-11,0.5,4,quantile,1965.38402960843
ILI incidence,AT,2025-12-24,2026-01-11,0.55,4,quantile,2160.09599853481
ILI incidence,AT,2025-12-24,2026-01-11,0.6,4,quantile,2372.90618711112
ILI incidence,AT,2025-12-24,2026-01-11,0.65,4,quantile,2573.64044154595
ILI incidence,AT,2025-12-24,2026-01-11,0.7,4,quantile,2808.19831399242
ILI incidence,AT,2025-12-24,2026-01-11,0.75,4,quantile,3099.90653349899
ILI incidence,AT,2025-12-24,2026-01-11,0.8,4,quantile,3335.15826933334
ILI incidence,AT,2025-12-24,2026-01-11,0.85,4,quantile,3877.29341769656
ILI incidence,AT,2025-12-24,2026-01-11,0.9,4,quantile,4265.87212931013
ILI incidence,AT,2025-12-24,2026-01-11,0.95,4,quantile,4975.39055969303
ILI incidence,AT,2025-12-24,2026-01-11,0.975,4,quantile,5740.43912875722
ILI incidence,AT,2025-12-24,2026-01-11,0.99,4,quantile,6634.49783814757
ILI incidence,AT,2025-12-24,2025-12-21,,1,median,2408.01527231361
ILI incidence,AT,2025-12-24,2025-12-28,,2,median,2264.75787866814
ILI incidence,AT,2025-12-24,2026-01-04,,3,median,2113.82968238691
ILI incidence,AT,2025-12-24,2026-01-11,,4,median,1965.38402960843
ILI incidence,BE,2025-12-24,2025-12-21,0.01,1,quantile,97.7734924728576
ILI incidence,BE,2025-12-24,2025-12-21,0.025,1,quantile,110.715315810053
ILI incidence,BE,2025-12-24,2025-12-21,0.05,1,quantile,122.627396275093
ILI incidence,BE,2025-12-24,2025-12-21,0.1,1,quantile,140.742216026924
ILI incidence,BE,2025-12-24,2025-12-21,0.15,1,quantile,152.850140657596
ILI incidence,BE,2025-12-24,2025-12-21,0.2,1,quantile,162.916545780749
ILI incidence,BE,2025-12-24,2025-12-21,0.25,1,quantile,174.853836029692
ILI incidence,BE,2025-12-24,2025-12-21,0.3,1,quantile,186.054390870121
ILI incidence,BE,2025-12-24,2025-12-21,0.35,1,quantile,195.088240693915
ILI incidence,BE,2025-12-24,2025-12-21,0.4,1,quantile,205.269107049885
ILI incidence,BE,2025-12-24,2025-12-21,0.45,1,quantile,213.355680426461
ILI incidence,BE,2025-12-24,2025-12-21,0.5,1,quantile,222.311141004619
ILI incidence,BE,2025-12-24,2025-12-21,0.55,1,quantile,232.567722789156
ILI incidence,BE,2025-12-24,2025-12-21,0.6,1,quantile,242.603158991311
ILI incidence,BE,2025-12-24,2025-12-21,0.65,1,quantile,254.08600732587
ILI incidence,BE,2025-12-24,2025-12-21,0.7,1,quantile,265.942069160709
ILI incidence,BE,2025-12-24,2025-12-21,0.75,1,quantile,283.377075433358
ILI incidence,BE,2025-12-24,2025-12-21,0.8,1,quantile,303.122557820069
ILI incidence,BE,2025-12-24,2025-12-21,0.85,1,quantile,325.301864720945
ILI incidence,BE,2025-12-24,2025-12-21,0.9,1,quantile,361.390744565878
