target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,BE,2025-09-17,2025-09-14,0.01,1,quantile,25.0370939954583
ILI incidence,BE,2025-09-17,2025-09-14,0.025,1,quantile,29.089126792218
ILI incidence,BE,2025-09-17,2025-09-14,0.05,1,quantile,33.2980152829215
ILI incidence,BE,2025-09-17,2025-09-14,0.1,1,quantile,40.2940712448044
ILI incidence,BE,2025-09-17,2025-09-14,0.15,1,quantile,44.7967438430512
ILI incidence,BE,2025-09-17,2025-09-14,0.2,1,quantile,47.8932801305068
ILI incidence,BE,2025-09-17,2025-09-14,0.25,1,quantile,51.1076537584365
ILI incidence,BE,2025-09-17,2025-09-14,0.3,1,quantile,53.8582868105791
ILI incidence,BE,2025-09-17,2025-09-14,0.35,1,quantile,57.0272365287846
ILI incidence,BE,2025-09-17,2025-09-14,0.4,1,quantile,59.8265722364599
ILI incidence,BE,2025-09-17,2025-09-14,0.45,1,quantile,62.3491858403834
ILI incidence,BE,2025-09-17,2025-09-14,0.5,1,quantile,64.9280143536961
ILI incidence,BE,2025-09-17,2025-09-14,0.55,1,quantile,67.6378765513985
ILI incidence,BE,2025-09-17,2025-09-14,0.6,1,quantile,70.7448597730051
ILI incidence,BE,2025-09-17,2025-09-14,0.65,1,quantile,74.3229446644789
ILI incidence,BE,2025-09-17,2025-09-14,0.7,1,quantile,78.5412277133628
ILI incidence,BE,2025-09-17,2025-09-14,0.75,1,quantile,82.9329717927738
ILI incidence,BE,2025-09-17,2025-09-14,0.8,1,quantile,88.8620641953186
ILI incidence,BE,2025-09-17,2025-09-14,0.85,1,quantile,95.8715764172961
ILI incidence,BE,2025-09-17,2025-09-14,0.9,1,quantile,104.919624139395
ILI incidence,BE,2025-09-17,2025-09-14,0.95,1,quantile,118.978422121668
ILI incidence,BE,2025-09-17,2025-09-14,0.975,1,quantile,130.9863808317
ILI incidence,BE,2025-09-17,2025-09-14,0.99,1,quantile,153.47813374122
ILI incidence,BE,2025-09-17,2025-09-21,0.01,2,quantile,18.0892111050761
ILI incidence,BE,2025-09-17,2025-09-21,0.025,2,quantile,22.0838955276016
ILI incidence,BE,2025-09-17,2025-09-21,0.05,2,quantile,28.1464665120157
ILI incidence,BE,2025-09-17,2025-09-21,0.1,2,quantile,36.6938024638858
ILI incidence,BE,2025-09-17,2025-09-21,0.15,2,quantile,42.698336010789
ILI incidence,BE,2025-09-17,2025-09-21,0.2,2,quantile,47.3128615184426
ILI incidence,BE,2025-09-17,2025-09-21,0.25,2,quantile,51.4236098113077
ILI incidence,BE,2025-09-17,2025-09-21,0.3,2,quantile,55.0261574039721
ILI incidence,BE,2025-09-17,2025-09-21,0.35,2,quantile,59.7440475915723
ILI incidence,BE,2025-09-17,2025-09-21,0.4,2,quantile,64.0708177802194
ILI incidence,BE,2025-09-17,2025-09-21,0.45,2,quantile,69.6744854775835
ILI incidence,BE,2025-09-17,2025-09-21,0.5,2,quantile,74.2464534651973
ILI incidence,BE,2025-09-17,2025-09-21,0.55,2,quantile,79.3909847955961
ILI incidence,BE,2025-09-17,2025-09-21,0.6,2,quantile,84.5468643902697
ILI incidence,BE,2025-09-17,2025-09-21,0.65,2,quantile,90.0045770523566
ILI incidence,BE,2025-09-17,2025-09-21,0.7,2,quantile,94.9015648961404
ILI incidence,BE,2025-09-17,2025-09-21,0.75,2,quantile,105.279871632615
ILI incidence,BE,2025-09-17,2025-09-21,0.8,2,quantile,113.262738838506
ILI incidence,BE,2025-09-17,2025-09-21,0.85,2,quantile,124.950589220216
ILI incidence,BE,2025-09-17,2025-09-21,0.9,2,quantile,144.077484795109
ILI incidence,BE,2025-09-17,2025-09-21,0.95,2,quantile,176.730853911832
ILI incidence,BE,2025-09-17,2025-09-21,0.975,2,quantile,199.798061301513
ILI incidence,BE,2025-09-17,2025-09-21,0.99,2,quantile,236.803078263155
ILI incidence,BE,2025-09-17,2025-09-28,0.01,3,quantile,18.1178963346625
ILI incidence,BE,2025-09-17,2025-09-28,0.025,3,quantile,22.8387673952743
ILI incidence,BE,2025-09-17,2025-09-28,0.05,3,quantile,27.7795631587228
ILI incidence,BE,2025-09-17,2025-09-28,0.1,3,quantile,35.0274496101828
ILI incidence,BE,2025-09-17,2025-09-28,0.15,3,quantile,41.9858973496356
ILI incidence,BE,2025-09-17,2025-09-28,0.2,3,quantile,47.3837483910294
ILI incidence,BE,2025-09-17,2025-09-28,0.25,3,quantile,54.4196305960402
ILI incidence,BE,2025-09-17,2025-09-28,0.3,3,quantile,60.2248710593305
ILI incidence,BE,2025-09-17,2025-09-28,0.35,3,quantile,65.7700343339068
ILI incidence,BE,2025-09-17,2025-09-28,0.4,3,quantile,71.8262305066208
ILI incidence,BE,2025-09-17,2025-09-28,0.45,3,quantile,77.9336085611532
ILI incidence,BE,2025-09-17,2025-09-28,0.5,3,quantile,84.0312534077568
ILI incidence,BE,2025-09-17,2025-09-28,0.55,3,quantile,91.7481137063353
ILI incidence,BE,2025-09-17,2025-09-28,0.6,3,quantile,100.275983263694
ILI incidence,BE,2025-09-17,2025-09-28,0.65,3,quantile,108.012083445057
ILI incidence,BE,2025-09-17,2025-09-28,0.7,3,quantile,118.480368031696
ILI incidence,BE,2025-09-17,2025-09-28,0.75,3,quantile,129.601972452657
ILI incidence,BE,2025-09-17,2025-09-28,0.8,3,quantile,148.994925732603
ILI incidence,BE,2025-09-17,2025-09-28,0.85,3,quantile,164.99038449456
ILI incidence,BE,2025-09-17,2025-09-28,0.9,3,quantile,197.962176851996
ILI incidence,BE,2025-09-17,2025-09-28,0.95,3,quantile,246.574051378136
ILI incidence,BE,2025-09-17,2025-09-28,0.975,3,quantile,317.799081955613
ILI incidence,BE,2025-09-17,2025-09-28,0.99,3,quantile,416.162864834559
ILI incidence,BE,2025-09-17,2025-10-05,0.01,4,quantile,18.5805253272735
ILI incidence,BE,2025-09-17,2025-10-05,0.025,4,quantile,22.3445897460857
ILI incidence,BE,2025-09-17,2025-10-05,0.05,4,quantile,27.708327378689
ILI incidence,BE,2025-09-17,2025-10-05,0.1,4,quantile,34.1623886612574
ILI incidence,BE,2025-09-17,2025-10-05,0.15,4,quantile,41.6709438424624
ILI incidence,BE,2025-09-17,2025-10-05,0.2,4,quantile,49.2308528515578
ILI incidence,BE,2025-09-17,2025-10-05,0.25,4,quantile,57.3541698165531
ILI incidence,BE,2025-09-17,2025-10-05,0.3,4,quantile,63.6806786155438
ILI incidence,BE,2025-09-17,2025-10-05,0.35,4,quantile,69.9289367665232
ILI incidence,BE,2025-09-17,2025-10-05,0.4,4,quantile,79.0837008327209
ILI incidence,BE,2025-09-17,2025-10-05,0.45,4,quantile,86.5276763969456
ILI incidence,BE,2025-09-17,2025-10-05,0.5,4,quantile,94.4997255278205
ILI incidence,BE,2025-09-17,2025-10-05,0.55,4,quantile,106.19232929084
ILI incidence,BE,2025-09-17,2025-10-05,0.6,4,quantile,114.196877045713
ILI incidence,BE,2025-09-17,2025-10-05,0.65,4,quantile,123.887554490821
ILI incidence,BE,2025-09-17,2025-10-05,0.7,4,quantile,138.822927872574
ILI incidence,BE,2025-09-17,2025-10-05,0.75,4,quantile,153.624414023479
ILI incidence,BE,2025-09-17,2025-10-05,0.8,4,quantile,174.656949615801
ILI incidence,BE,2025-09-17,2025-10-05,0.85,4,quantile,203.122001322047
ILI incidence,BE,2025-09-17,2025-10-05,0.9,4,quantile,247.2556219058
ILI incidence,BE,2025-09-17,2025-10-05,0.95,4,quantile,315.325034966639
ILI incidence,BE,2025-09-17,2025-10-05,0.975,4,quantile,398.386158847619
ILI incidence,BE,2025-09-17,2025-10-05,0.99,4,quantile,578.771490702678
ILI incidence,BE,2025-09-17,2025-09-14,,1,median,64.9280143536961
ILI incidence,BE,2025-09-17,2025-09-21,,2,median,74.2464534651973
ILI incidence,BE,2025-09-17,2025-09-28,,3,median,84.0312534077568
ILI incidence,BE,2025-09-17,2025-10-05,,4,median,94.4997255278205
ILI incidence,CZ,2025-09-17,2025-09-14,0.01,1,quantile,2.34643985482038
ILI incidence,CZ,2025-09-17,2025-09-14,0.025,1,quantile,2.77576895928634
ILI incidence,CZ,2025-09-17,2025-09-14,0.05,1,quantile,3.19794197628289
ILI incidence,CZ,2025-09-17,2025-09-14,0.1,1,quantile,3.89234560730571
ILI incidence,CZ,2025-09-17,2025-09-14,0.15,1,quantile,4.46062972006457
ILI incidence,CZ,2025-09-17,2025-09-14,0.2,1,quantile,4.87940534572679
ILI incidence,CZ,2025-09-17,2025-09-14,0.25,1,quantile,5.22611793845282
ILI incidence,CZ,2025-09-17,2025-09-14,0.3,1,quantile,5.54908582813571
ILI incidence,CZ,2025-09-17,2025-09-14,0.35,1,quantile,5.96117253585298
ILI incidence,CZ,2025-09-17,2025-09-14,0.4,1,quantile,6.27349740794114
ILI incidence,CZ,2025-09-17,2025-09-14,0.45,1,quantile,6.61310990352598
ILI incidence,CZ,2025-09-17,2025-09-14,0.5,1,quantile,6.98256872359682
ILI incidence,CZ,2025-09-17,2025-09-14,0.55,1,quantile,7.39147533696862
ILI incidence,CZ,2025-09-17,2025-09-14,0.6,1,quantile,7.83561052229542
ILI incidence,CZ,2025-09-17,2025-09-14,0.65,1,quantile,8.34003735134009
ILI incidence,CZ,2025-09-17,2025-09-14,0.7,1,quantile,8.83843334371659
ILI incidence,CZ,2025-09-17,2025-09-14,0.75,1,quantile,9.44586292699456
ILI incidence,CZ,2025-09-17,2025-09-14,0.8,1,quantile,10.0953930447802
ILI incidence,CZ,2025-09-17,2025-09-14,0.85,1,quantile,11.0933579161005
ILI incidence,CZ,2025-09-17,2025-09-14,0.9,1,quantile,12.1590948458758
ILI incidence,CZ,2025-09-17,2025-09-14,0.95,1,quantile,13.9791868929226
ILI incidence,CZ,2025-09-17,2025-09-14,0.975,1,quantile,15.889296716298
ILI incidence,CZ,2025-09-17,2025-09-14,0.99,1,quantile,19.5546818616194
ILI incidence,CZ,2025-09-17,2025-09-21,0.01,2,quantile,1.53508453967421
ILI incidence,CZ,2025-09-17,2025-09-21,0.025,2,quantile,1.83952557277989
ILI incidence,CZ,2025-09-17,2025-09-21,0.05,2,quantile,2.50053170915476
ILI incidence,CZ,2025-09-17,2025-09-21,0.1,2,quantile,3.22074757780282
ILI incidence,CZ,2025-09-17,2025-09-21,0.15,2,quantile,3.88021389180961
