target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-20,1,quantile,0.01,745.9253438571458,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.01,755.6967829421781,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.01,828.4917013794338,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.01,1085.9766023309166,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.025,754.2199707500223,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.025,760.1761176748097,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.025,854.4884702861563,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.025,1196.9736553263795,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.05,830.7387880951409,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.05,833.2213867527704,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.05,941.7784253536305,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.05,1301.1001429977337,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.1,858.1495599326031,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.1,873.1845212391171,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.1,983.3910571866642,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.1,1409.8352633076604,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.15,916.7190378315357,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.15,902.8652972345541,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.15,1025.586704657168,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.15,1460.8704229746,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.2,922.5805734911128,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.2,930.2207073665395,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.2,1049.8018234379142,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.2,1473.0365873146102,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.25,937.9920641803554,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.25,943.0145990950651,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.25,1065.8234338134184,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.25,1492.0897919682989,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.3,959.1508740214813,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.3,956.207887062217,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.3,1074.264294708318,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.3,1529.69471159992,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.35,975.4647730144657,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.35,972.4076647987782,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.35,1112.284010977169,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.35,1544.4648679035656,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.4,985.2899581802214,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.4,1002.6942741428088,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.4,1127.3445286768772,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.4,1554.9060137227943,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.45,1001.1215409028956,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.45,1010.3791876503795,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.45,1145.4077285318904,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.45,1590.7180185586333,2024-10-23
