target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-20,1,quantile,0.01,876.7179421198003,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.01,1028.981355602518,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.01,1033.908970040515,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.01,1210.327860883789,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.025,903.7289261792605,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.025,1153.158197426417,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.025,1111.4067703715698,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.025,1250.5888449975544,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.05,1213.2207739398184,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.05,1193.0153170477734,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.05,1132.0617467499662,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.05,1304.0460530956873,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.1,1246.2900836721662,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.1,1232.788190089897,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.1,1163.7061644019095,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.1,1361.6294536181863,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.15,1266.7004013777776,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.15,1274.7382573644247,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.15,1315.2982353044051,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.15,1494.601516930632,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.2,1326.3692332809828,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.2,1331.0658250120523,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.2,1424.8592114102817,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.2,1571.3729970301988,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.25,1420.1953627364028,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.25,1451.4205383265735,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.25,1535.7651898103575,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.25,1637.9031138811076,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.3,1505.987263151803,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.3,1547.5301829163175,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.3,1647.4854705333678,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.3,1707.9279514634327,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.35,1621.4610039419667,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.35,1600.1417941534064,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.35,1709.6114966910543,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.35,1760.8017623540616,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.4,1671.8119806426141,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.4,1650.1127035178747,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.4,1742.904146997976,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.4,1815.3986689462902,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.45,1748.3724374371513,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.45,1679.5389262798324,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.45,1783.1265814997369,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.45,1855.4247282944093,2024-10-23
ILI incidence,AT,2024-10-20,1,,0.5,1900.9497503324183,2024-10-23
ILI incidence,AT,2024-10-27,2,,0.5,1706.6752424689225,2024-10-23
ILI incidence,AT,2024-11-03,3,,0.5,1818.0410332120628,2024-10-23
ILI incidence,AT,2024-11-10,4,,0.5,1899.9978703056815,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.55,1930.8082850474923,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.55,1780.4532054478057,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.55,1862.3091216996763,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.55,1947.1463981216682,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.6,1977.0993440430398,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.6,1833.7902288858093,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.6,1910.5736114061822,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.6,1995.949471556771,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.65,2046.369312646225,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.65,1875.6633696636961,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.65,1959.0073509079868,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.65,2047.3500833245735,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.7,2108.2174255415657,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.7,1915.3080689911462,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.7,2002.6525492647027,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.7,2113.996312449916,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.75,2163.4400892675635,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.75,1957.8363775712496,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.75,2056.913249772794,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.75,2172.0194205127445,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.8,2214.651128666384,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.8,1988.9879234146567,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.8,2119.8522308613783,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.8,2221.8161197283853,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.85,2319.4035215007225,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.85,2020.3240274607883,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.85,2196.3257919558,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.85,2301.9067742126035,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.9,2366.236361499554,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.9,2082.448505706025,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.9,2260.2112434794512,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.9,2388.05207005936,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.95,2420.3902858462548,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.95,2272.6329205240368,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.95,2349.1060055084677,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.95,2489.625986646133,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.975,2441.985846768463,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.975,2463.7766563435325,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.975,2450.251894075316,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.975,2564.645454065953,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.99,2564.4935235693497,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.99,2545.2119510618472,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.99,2576.940180456694,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.99,2661.7586404709677,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.01,117.33300254701568,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.01,103.71521066214746,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.01,106.01679570827565,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.01,147.14778923855306,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.025,123.1870782653948,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.025,107.26202348747469,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.025,112.1664864014324,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.025,154.56696496803536,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.05,151.08011683735316,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.05,132.08617793218005,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.05,131.5245356924282,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.05,164.0485981026178,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.1,187.88268207046772,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.1,193.26011944508352,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.1,170.836616170781,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.1,184.05272252261912,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.15,196.2836244491412,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.15,203.11714239224858,2024-10-23
ILI incidence,BE,2024-11-03,3,quantile,0.15,196.82806593824432,2024-10-23
ILI incidence,BE,2024-11-10,4,quantile,0.15,208.5950143762132,2024-10-23
ILI incidence,BE,2024-10-20,1,quantile,0.2,218.52123369156234,2024-10-23
ILI incidence,BE,2024-10-27,2,quantile,0.2,222.10360326315399,2024-10-23
