target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-04-26,1,quantile,0.01,47.653964104061174,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.01,36.287956309505034,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.01,6.37219426640675,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.01,12.091516567577022,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.025,48.175020363078055,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.025,49.25564952581387,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.025,11.782571942498128,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.025,18.334427431920297,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.05,48.51699015524534,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.05,50.907890948458494,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.05,23.33420389565883,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.05,20.66516112282997,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.1,50.607866205459956,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.1,53.19486140830633,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.1,25.708165973318675,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.1,27.29076219041191,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.15,50.997450474561255,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.15,56.75362386432287,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.15,28.48854579706673,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.15,28.201201649575417,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.2,51.674565207763095,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.2,58.4149690043479,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.2,30.80348589626372,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.2,30.436971773168892,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.25,52.38967490985007,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.25,59.76539506595367,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.25,41.87413203698162,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.25,31.882212481002668,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.3,53.64573380280477,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.3,60.67024355292441,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.3,44.48283771346396,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.3,39.055575139615435,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.35,54.477970649977465,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.35,61.61551999815508,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.35,46.34467480900464,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.35,47.80369120919795,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.4,55.403004149137125,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.4,62.10639152492918,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.4,46.709844515613476,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.4,48.58658793410134,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.45,58.179635602247714,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.45,62.719381844471265,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.45,47.18053900546064,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.45,49.73461176308598,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.5,60.00071274383687,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.5,63.44146655204004,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.5,48.32113312628334,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.5,51.98667308017775,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.55,60.528100570200046,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.55,64.65230973997228,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.55,50.356263500798086,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.55,53.51005199618627,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.6,61.623582129156,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.6,65.8358091242292,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.6,52.10481597903955,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.6,55.1060529681306,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.65,62.61667222023125,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.65,66.76960804631683,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.65,52.832572471824605,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.65,55.490603508741984,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.7,63.56976691928606,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.7,67.14609239264972,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.7,54.24225271835181,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.7,57.304130246157335,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.75,64.1878173615085,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.75,67.59013569828417,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.75,54.76345910499843,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.75,60.96393421631807,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.8,66.72476872927302,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.8,67.94725473137112,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.8,58.066841618015864,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.8,61.944638860515845,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.85,68.0867458019759,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.85,68.39781143875271,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.85,60.270508261512354,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.85,62.226021223226255,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.9,70.24276399717351,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.9,74.48074536790156,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.9,62.02102689017466,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.9,65.4591279919369,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.95,72.77709010795003,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.95,82.73814716762128,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.95,63.89461750513526,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.95,68.92956629572646,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.975,74.05283531659852,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.975,83.81949008588066,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.975,70.9588543235732,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.975,71.018833681633,2026-04-29
ILI incidence,BE,2026-04-26,1,quantile,0.99,74.71318436266297,2026-04-29
ILI incidence,BE,2026-05-03,2,quantile,0.99,85.41290723852026,2026-04-29
ILI incidence,BE,2026-05-10,3,quantile,0.99,71.2895392426527,2026-04-29
ILI incidence,BE,2026-05-17,4,quantile,0.99,81.91772658077937,2026-04-29
ILI incidence,BE,2026-04-26,1,median,,60.00071274383687,2026-04-29
ILI incidence,BE,2026-05-03,2,median,,63.44146655204004,2026-04-29
ILI incidence,BE,2026-05-10,3,median,,48.32113312628334,2026-04-29
ILI incidence,BE,2026-05-17,4,median,,51.98667308017775,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.01,362.5894207018082,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.01,295.10649963172807,2026-04-29
ILI incidence,GR,2026-05-10,3,quantile,0.01,400.45878501405855,2026-04-29
ILI incidence,GR,2026-05-17,4,quantile,0.01,463.67251556289176,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.025,377.30327546857967,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.025,338.15482066858533,2026-04-29
ILI incidence,GR,2026-05-10,3,quantile,0.025,406.8348526973318,2026-04-29
ILI incidence,GR,2026-05-17,4,quantile,0.025,485.49309089114183,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.05,387.67114337899494,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.05,397.74190015969754,2026-04-29
ILI incidence,GR,2026-05-10,3,quantile,0.05,412.7602843863113,2026-04-29
ILI incidence,GR,2026-05-17,4,quantile,0.05,496.2224053492417,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.1,414.2642407143698,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.1,399.6903163399033,2026-04-29
ILI incidence,GR,2026-05-10,3,quantile,0.1,424.8338045419174,2026-04-29
ILI incidence,GR,2026-05-17,4,quantile,0.1,514.5589129691799,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.15,426.29725740286693,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.15,401.71590585617065,2026-04-29
ILI incidence,GR,2026-05-10,3,quantile,0.15,433.3013819241655,2026-04-29
ILI incidence,GR,2026-05-17,4,quantile,0.15,517.193451811334,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.2,436.74507139750875,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.2,419.8223996706143,2026-04-29
ILI incidence,GR,2026-05-10,3,quantile,0.2,437.98197816581006,2026-04-29
ILI incidence,GR,2026-05-17,4,quantile,0.2,524.3667856780586,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.25,447.641194547292,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.25,422.859546513669,2026-04-29
ILI incidence,GR,2026-05-10,3,quantile,0.25,442.686352568763,2026-04-29
ILI incidence,GR,2026-05-17,4,quantile,0.25,534.5661308863681,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.3,461.38490961974907,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.3,424.72724061423776,2026-04-29
ILI incidence,GR,2026-05-10,3,quantile,0.3,447.3222103170862,2026-04-29
ILI incidence,GR,2026-05-17,4,quantile,0.3,541.3401188380838,2026-04-29
ILI incidence,GR,2026-04-26,1,quantile,0.35,461.5164311480938,2026-04-29
ILI incidence,GR,2026-05-03,2,quantile,0.35,434.7817586296432,2026-04-29
