target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2025-10-19,1,quantile,0.01,97.37762499740779,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.01,59.34507605089657,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.01,44.743230388265616,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.01,68.4131010332884,2025-10-22
ILI incidence,BE,2025-10-19,1,quantile,0.025,106.5602969287981,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.025,85.89384188866036,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.025,98.19195356124283,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.025,91.37397436049108,2025-10-22
ILI incidence,BE,2025-10-19,1,quantile,0.05,111.07876519200622,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.05,88.17127930164831,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.05,135.83053044085221,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.05,139.76893689247566,2025-10-22
ILI incidence,BE,2025-10-19,1,quantile,0.1,117.97050257128625,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.1,91.99014681377665,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.1,137.70092174707707,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.1,152.3598936109207,2025-10-22
ILI incidence,BE,2025-10-19,1,quantile,0.15,118.44655393424051,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.15,95.33478350336975,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.15,139.50479186698516,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.15,156.0996640487831,2025-10-22
ILI incidence,BE,2025-10-19,1,quantile,0.2,133.5808513682094,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.2,98.13624035885992,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.2,141.85657046687606,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.2,159.24773761306898,2025-10-22
ILI incidence,BE,2025-10-19,1,quantile,0.25,134.9307164987799,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.25,101.3889990550828,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.25,144.99544126248787,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.25,161.00642376471336,2025-10-22
ILI incidence,BE,2025-10-19,1,quantile,0.3,137.98511009857273,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.3,104.85770544338396,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.3,147.630865430283,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.3,163.0159770377196,2025-10-22
ILI incidence,BE,2025-10-19,1,quantile,0.35,140.08064503823178,2025-10-22
ILI incidence,BE,2025-10-26,2,quantile,0.35,108.05215102727597,2025-10-22
ILI incidence,BE,2025-11-02,3,quantile,0.35,151.45364485979533,2025-10-22
ILI incidence,BE,2025-11-09,4,quantile,0.35,164.80746330157723,2025-10-22
