target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-03-29,1,quantile,0.01,55.215959180546044,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.01,20.332798571655132,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.01,0.0,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.01,14.382469452185425,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.025,68.5765511496009,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.025,42.45534038238272,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.025,0.0,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.025,16.923662879736867,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.05,74.14010841829409,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.05,61.360837667822054,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.05,3.626506788701742,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.05,24.5195873431272,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.1,103.99607724057444,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.1,66.04608994302171,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.1,17.554368071775027,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.1,34.4934967751362,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.15,106.35481924148829,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.15,69.94406821495866,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.15,19.12925826892039,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.15,40.47716713852552,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.2,109.08358859014207,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.2,72.40927740329036,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.2,21.26419458237591,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.2,41.33821404456347,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.25,110.04603113774738,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.25,74.37741129414043,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.25,23.43409321091883,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.25,42.58496208906075,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.3,113.75535735558583,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.3,76.12882501450318,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.3,24.52458492526718,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.3,43.72278633961601,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.35,117.37014921118491,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.35,77.21190878181879,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.35,27.21987188995082,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.35,45.02390850316033,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.4,121.02465502084675,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.4,78.50848177097386,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.4,30.14529277549942,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.4,47.1035672012292,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.45,124.95100177771639,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.45,79.49687570453689,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.45,33.780250899557416,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.45,54.50237352193411,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.5,127.4782994924094,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.5,80.57256336305232,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.5,36.74809789908243,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.5,59.96237006147996,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.55,127.92399935625788,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.55,81.75671452052957,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.55,40.1657353557959,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.55,64.66214347856192,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.6,130.18463616276497,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.6,84.18119386405077,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.6,42.93061589577454,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.6,69.29555060366019,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.65,136.93766484353137,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.65,85.72761282583494,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.65,46.049109034206076,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.65,74.30487417363828,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.7,139.1689327643035,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.7,87.78106562582741,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.7,49.89065811653101,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.7,76.70708259414971,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.75,144.5649606627064,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.75,90.53596743894465,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.75,54.08262601999512,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.75,80.28427592688742,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.8,149.31870295886836,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.8,101.21611966119522,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.8,61.16887410912634,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.8,84.8479916631767,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.85,154.62545137992262,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.85,110.09765505455928,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.85,77.19582706028231,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.85,86.88737084977963,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.9,162.17179375949974,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.9,120.44444063123481,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.9,91.5633512977652,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.9,118.29925320811638,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.95,175.2551448141934,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.95,133.26502232436016,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.95,94.43963688293725,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.95,129.19056882034783,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.975,182.33243545892512,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.975,136.58740939019188,2026-04-01
ILI incidence,BE,2026-04-12,3,quantile,0.975,96.99679365485791,2026-04-01
ILI incidence,BE,2026-04-19,4,quantile,0.975,135.04635009238012,2026-04-01
ILI incidence,BE,2026-03-29,1,quantile,0.99,194.37100965665482,2026-04-01
ILI incidence,BE,2026-04-05,2,quantile,0.99,139.34343186194735,2026-04-01
