target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2025-12-14,1,quantile,0.01,38.7374471131178,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.01,57.032083826014755,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.01,12.459855599363799,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.01,34.0980546268857,2025-12-17
ILI incidence,BE,2025-12-14,1,quantile,0.025,85.06431394952814,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.025,95.55992624034656,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.025,81.4211280165511,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.025,80.00553466595572,2025-12-17
ILI incidence,BE,2025-12-14,1,quantile,0.05,121.19483321445442,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.05,127.95378784429077,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.05,111.65132759470984,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.05,124.3132531761441,2025-12-17
ILI incidence,BE,2025-12-14,1,quantile,0.1,164.52251728160766,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.1,165.6550337116793,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.1,161.90250284209145,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.1,174.01078738867602,2025-12-17
ILI incidence,BE,2025-12-14,1,quantile,0.15,188.14173035378028,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.15,187.96980024049154,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.15,183.81836499173662,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.15,204.84552366170385,2025-12-17
ILI incidence,BE,2025-12-14,1,quantile,0.2,212.68234543359264,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.2,217.72251021076974,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.2,208.8398089283769,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.2,231.33923335833785,2025-12-17
ILI incidence,BE,2025-12-14,1,quantile,0.25,230.38877535055127,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.25,235.29635801572203,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.25,225.048681587119,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.25,249.66742092312012,2025-12-17
ILI incidence,BE,2025-12-14,1,quantile,0.3,248.6342427597554,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.3,248.59854655376418,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.3,244.11904488766444,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.3,266.4436395536379,2025-12-17
ILI incidence,BE,2025-12-14,1,quantile,0.35,262.52901000885083,2025-12-17
ILI incidence,BE,2025-12-21,2,quantile,0.35,264.05023475658703,2025-12-17
ILI incidence,BE,2025-12-28,3,quantile,0.35,263.9669456911541,2025-12-17
ILI incidence,BE,2026-01-04,4,quantile,0.35,279.61798431146656,2025-12-17
