target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-05-24,1,quantile,0.01,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.01,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.01,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.01,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.025,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.025,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.025,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.025,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.05,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.05,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.05,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.05,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.1,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.1,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.1,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.1,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.15,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.15,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.15,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.15,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.2,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.2,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.2,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.2,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.25,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.25,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.25,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.25,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.3,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.3,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.3,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.3,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.35,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.35,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.35,0.0,2026-05-27
ILI incidence,BE,2026-06-14,4,quantile,0.35,0.0,2026-05-27
ILI incidence,BE,2026-05-24,1,quantile,0.4,0.0,2026-05-27
ILI incidence,BE,2026-05-31,2,quantile,0.4,0.0,2026-05-27
ILI incidence,BE,2026-06-07,3,quantile,0.4,0.0,2026-05-27
