"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-10-22,1,2025-10-19,0.01,1707.65,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.025,1715.9,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.05,1727.75,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.1,1739,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.15,1747.85,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.2,1754,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.25,1758.75,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.3,1764.7,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.35,1770,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.4,1775,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.45,1780.55,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.5,1784.5,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.55,1788.45,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.6,1794.6,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.65,1802.35,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.7,1807.3,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.75,1813.25,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.8,1816.2,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.85,1820.15,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.9,1829.2,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.95,1849.35,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.975,1856.525,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.99,1865.37,"quantile","ILI incidence","AT"
2025-10-22,1,2025-10-19,0.01,147.99,"quantile","ILI incidence","BE"
2025-10-22,1,2025-10-19,0.025,151.9,"quantile","ILI incidence","BE"
2025-10-22,1,2025-10-19,0.05,156.95,"quantile","ILI incidence","BE"
2025-10-22,1,2025-10-19,0.1,160.9,"quantile","ILI incidence","BE"
2025-10-22,1,2025-10-19,0.15,164,"quantile","ILI incidence","BE"
2025-10-22,1,2025-10-19,0.2,165.8,"quantile","ILI incidence","BE"
2025-10-22,1,2025-10-19,0.25,169,"quantile","ILI incidence","BE"
