Unnamed: 0,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
0,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.01,147.32871372881235
1,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.01,117.75543446010175
2,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.01,101.44330452205288
3,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.01,92.37313912973032
8,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.025,149.5805259379811
9,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.025,121.09282065758846
10,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.025,105.41354510215828
11,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.025,96.71572800753188
16,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.05,153.2618967109917
17,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.05,126.54893993594165
18,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.05,111.90428512653008
19,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.05,103.81520091599482
24,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.1,160.3881794523762
25,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.1,137.11072548965973
26,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.1,124.46885725645645
27,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.1,117.55813918002951
32,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.15,167.2501111870646
33,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.15,147.28071931338943
34,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.15,136.56734385318288
35,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.15,130.79128016308323
40,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.2,173.8986614270235
41,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.2,157.13446276223897
42,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.2,148.28961085843133
43,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.2,143.6129178680358
48,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.25,180.37618179441
49,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.25,166.73472471127377
50,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.25,159.71032974268965
51,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.25,156.10472681578523
56,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.3,186.71878762805096
57,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.3,176.1350313083795
58,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.3,170.89317659013193
59,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.3,168.33635494059072
64,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.35,192.95807503192748
65,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.35,185.3822107930032
66,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.35,181.89385948053848
67,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.35,180.3687348944608
72,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.4,199.1224080936568
73,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.4,194.5183012685588
74,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.4,192.7623880244873
75,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.4,192.2565664302938
80,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.45,205.23792639502284
81,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.45,203.58204392274348
82,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.45,203.54484973670256
83,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.45,204.05025937208129
88,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.5,211.32937384291688
89,2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.5,212.61011142879096
90,2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.5,214.28487137382484
91,2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.5,215.79753200397727
84,2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.55,217.4208212908109
