origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.01,1697.5437416522527
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.01,1690.643361215893
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.01,1687.1815136846712
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.01,1685.840192663767
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.025,1709.124254875801
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.025,1702.7916069436387
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.025,1699.7298573056669
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.025,1698.6740704481597
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.05,1728.0566342030145
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.05,1722.652142641677
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.05,1720.2444922596535
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.05,1719.6555103690723
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.1,1764.705343711438
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.1,1761.0975483088266
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.1,1759.956082868834
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.1,1760.2707274762377
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.15,1799.9945613775856
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.15,1798.1168132993048
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.15,1798.194563395801
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.15,1799.3793142799057
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.2,1834.1864107945896
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.2,1833.984911766583
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.2,1835.243964164107
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.2,1837.2717641367808
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.25,1867.49869587986
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.25,1868.9303254245613
