origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.01,1177.8929081655751
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.01,909.9957415987876
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.01,671.0548514167323
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.01,470.94188890702463
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.025,1199.6149358288308
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.025,923.9050377782194
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.025,681.5337557243078
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.025,482.7809503039719
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.05,1217.908460082438
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.05,937.4316340587345
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.05,697.2813355060676
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.05,504.34501773131495
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.1,1243.0647439475315
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.1,957.4513497789027
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.1,719.2937574194237
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.1,529.077346175234
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.15,1259.728557693113
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.15,974.6533340136878
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.15,734.8651788435837
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.15,542.4211056360409
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.2,1277.0219390969178
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.2,993.4974169121245
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.2,751.4541056015071
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.2,555.4422141082458
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.25,1296.231468568466
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.25,1008.626583908359
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.25,766.250060656423
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.25,567.2572193566767
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.3,1311.696874155836
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.3,1025.6578650134752
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.3,781.1257455184182
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.3,580.262316334221
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.35,1322.7143121367435
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.35,1044.4587139911253
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.35,798.1936571390493
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.35,595.2901335459973
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.4,1334.1794113323895
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.4,1064.1313974094871
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.4,816.0815309373412
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.4,611.6564375031671
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.45,1349.5706716246987
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.45,1080.063490052278
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.45,834.6979470285008
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.45,629.1410731462627
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.5,1363.9684889510963
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.5,1097.3136200573372
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.5,858.0469060316707
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.5,654.3908845561335
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.55,1376.4793185053045
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.55,1112.5495552600867
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.55,876.9618876312655
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.55,679.2850056898985
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.6,1392.8206571910346
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.6,1127.5927770648361
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.6,898.4435124068445
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.6,702.3380046608052
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.65,1406.5420108481396
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.65,1144.7482643594672
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.65,917.5344308900757
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.65,723.9582386783391
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.7,1419.95227301551
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.7,1162.518854016895
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.7,940.2356763259603
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.7,750.9666150749164
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.75,1435.8754885515714
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.75,1183.9544769703298
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.75,964.3943655444602
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.75,774.8485908377523
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.8,1456.4106422671907
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.8,1211.8867457439824
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.8,991.342415183935
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.8,799.9054017501729
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.85,1486.4033800524453
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.85,1241.1173760377264
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.85,1028.0071299031904
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.85,838.0372146276143
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.9,1522.3916035738653
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.9,1282.28189693018
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.9,1063.2264326112595
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.9,869.5233003912065
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.95,1582.2788267515286
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.95,1340.049925861057
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.95,1121.7539392916617
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.95,920.5308258737091
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.975,1613.237249527798
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.975,1377.5509368723403
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.975,1166.0499642348855
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.975,963.3146430235219
2026-04-01,ILI incidence,2026-03-29,1,AT,quantile,0.99,1669.074560382662
2026-04-01,ILI incidence,2026-04-05,2,AT,quantile,0.99,1426.9296931106103
2026-04-01,ILI incidence,2026-04-12,3,AT,quantile,0.99,1200.0984297715124
2026-04-01,ILI incidence,2026-04-19,4,AT,quantile,0.99,1010.393660919835
2026-04-01,ILI incidence,2026-03-29,1,AT,median,,1363.9684889510963
2026-04-01,ILI incidence,2026-04-05,2,AT,median,,1097.3136200573372
