origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.01,1483.4797980954368
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.01,1672.8941525052262
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.01,1763.41676455227
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.01,1676.4581397721745
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.025,1495.7701651907978
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.025,1695.177282551433
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.025,1816.5533711672213
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.025,1776.9605878541638
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.05,1509.6546883307199
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.05,1718.1727904475376
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.05,1845.2082756091613
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.05,1820.1529811407095
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.1,1532.555018891058
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.1,1742.4650019382136
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.1,1883.6358912343153
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.1,1878.9636454000026
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.15,1557.0242883219294
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.15,1774.753001353643
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.15,1911.1827871640653
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.15,1909.1306575825372
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.2,1577.1721780212736
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.2,1798.0075523588675
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.2,1937.4483855672106
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.2,1937.6213943579753
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.25,1598.4075011361404
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.25,1818.0901967881596
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.25,1962.4819070657247
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.25,1963.348741240307
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.3,1616.4247788114085
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.3,1841.5906017097764
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.3,1980.1776815743788
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.3,1994.5032861782743
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.35,1634.7813420669288
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.35,1857.8159776074056
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.35,2006.209460251791
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.35,2021.6470632984265
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.4,1651.7989019262195
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.4,1876.0898657407179
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.4,2021.4489911172154
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.4,2041.1402670330785
2025-10-22,ILI incidence,2025-10-19,1,AT,quantile,0.45,1674.9612573008635
2025-10-22,ILI incidence,2025-10-26,2,AT,quantile,0.45,1896.9047092317858
2025-10-22,ILI incidence,2025-11-02,3,AT,quantile,0.45,2035.9407385791756
2025-10-22,ILI incidence,2025-11-09,4,AT,quantile,0.45,2060.851869599565
