origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.01,764.7123161915654
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.025,886.2020635289094
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.05,1005.9989432090802
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.1,1164.3273882268684
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.15,1284.9865032341434
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.2,1389.7315903964368
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.25,1486.3672676267538
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.3,1578.8584656951095
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.35,1669.6918382534795
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.4,1760.7081337470381
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.45,1853.4840921858258
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.5,1949.5580466969614
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.55,2050.6092370734787
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.6,2158.652112998971
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.65,2276.3060874659127
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.7,2407.2389506076897
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.75,2556.9940989322795
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.8,2734.7375929382015
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.85,2957.5665821265125
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.9,3263.8994024961185
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.95,3777.2330549519797
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.975,4287.399283474265
2025-11-19,ILI incidence,2025-11-16,1,AT,quantile,0.99,4967.806969773763
2025-11-19,ILI incidence,2025-11-16,1,AT,median,,1949.5580466969614
2025-11-19,ILI incidence,2025-11-23,2,AT,quantile,0.01,744.3628579969877
