origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-09-23,ARI incidence,2026-09-20,1,DE,median,,980.536376953125
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.01,569.3923950195312
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.025,643.8027954101562
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.05,767.820068359375
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.1,824.1490478515625
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.15,857.2590942382812
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.2,881.982666015625
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.25,901.967041015625
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.3,918.991943359375
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.35,934.6708374023438
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.4,950.4970092773438
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.45,964.81689453125
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.5,980.536376953125
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.55,996.8895874023438
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.6,1014.2494506835938
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.65,1031.820556640625
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.7,1054.5045166015625
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.75,1081.0703125
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.8,1113.775390625
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.85,1156.3880615234375
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.9,1212.4337158203125
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.95,1320.5849609375
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.975,1494.7144775390625
2026-09-23,ARI incidence,2026-09-20,1,DE,quantile,0.99,1599.19189453125
2026-09-23,ARI incidence,2026-09-27,2,DE,median,,1119.2989501953125
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.01,644.3756103515625
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.025,722.2371826171875
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.05,852.0064697265625
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.1,917.4996948242188
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.15,957.6400146484375
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.2,988.9285278320312
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.25,1014.7033081054688
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.3,1037.4033203125
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.35,1057.962158203125
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.4,1079.0450439453125
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.45,1097.9398193359375
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.5,1119.2989501953125
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.55,1140.9635009765625
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.6,1163.2459716796875
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.65,1185.3685302734375
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.7,1212.08837890625
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.75,1242.8135986328125
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.8,1280.7877197265625
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.85,1329.9683837890625
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.9,1392.815673828125
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.95,1514.4404296875
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.975,1722.0244140625
2026-09-23,ARI incidence,2026-09-27,2,DE,quantile,0.99,1846.574462890625
2026-09-23,ARI incidence,2026-10-04,3,DE,median,,1181.8670654296875
2026-09-23,ARI incidence,2026-10-04,3,DE,quantile,0.01,691.346923828125
2026-09-23,ARI incidence,2026-10-04,3,DE,quantile,0.025,770.918212890625
