"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.01",240.616232109722
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.025",241.282074833364
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.05",241.97694592695
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.1",243.299226559515
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.15",244.349639234687
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.2",245.187101548819
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.25",245.603718992831
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.3",246.572413433615
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.35",247.335390878411
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.4",247.776250111791
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.45",248.211392474337
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.5",248.649250695438
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.55",248.996160857198
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.6",249.256740247374
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.65",249.443744535245
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.7",249.754090436319
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.75",250.042813520586
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.8",250.415541023969
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.85",251.085505889583
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.9",251.792607357818
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.95",254.042132368448
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.975",255.177066364572
2025-09-24,"ARI incidence",2025-09-07,-1,"BG","quantile","0.99",256.184347036062
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.01",240.86052083474
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.025",242.140713415615
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.05",243.493331736502
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.1",244.67691816673
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.15",245.208897543002
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.2",246.058988932838
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.25",246.429274474588
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.3",246.81359354312
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.35",247.207898235968
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.4",247.967746100611
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.45",248.265824094822
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.5",248.584249142833
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.55",248.876170927308
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.6",249.151269195438
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.65",249.271386159963
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.7",249.484665706372
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.75",249.616833434279
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.8",249.955225706343
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.85",250.088022833905
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.9",250.478645846608
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.95",251.06877467875
2025-09-24,"ARI incidence",2025-09-07,-1,"ES","quantile","0.975",251.952236061108
