"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-08-26,"ARI incidence",2026-08-23,1,"BE","median","",249.296740337896
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.01",46.3519988122514
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.025",76.3945535661259
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.05",118.133822326586
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.1",148.372051235485
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.15",162.730352316922
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.2",172.47152899254
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.25",181.313897739025
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.3",189.774178937264
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.35",206.030958627236
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.4",221.353234772978
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.45",234.872312182424
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.5",244.483190597049
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.55",252.708294570348
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.6",262.010859815881
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.65",274.737426277607
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.7",288.920822581748
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.75",301.443236123764
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.8",319.279595058923
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.85",340.301194442776
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.9",366.133632993503
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.95",406.996423472003
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.975",469.5289678519
2026-08-26,"ARI incidence",2026-08-23,1,"BE","quantile","0.99",517.372388131004
2026-08-26,"ARI incidence",2026-08-23,1,"BG","median","",197.386356248748
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.01",94.0764607233972
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.025",106.786582598259
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.05",123.357239573261
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.1",138.662483356443
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.15",149.02859102552
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.2",156.581013827187
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.25",162.83785559439
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.3",168.730441002551
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.35",174.62119268985
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.4",180.240712315639
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.45",185.987975518257
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.5",198.736876200847
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.55",204.129757586792
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.6",209.817248119411
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.65",217.301300239763
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.7",226.919413103232
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.75",235.451526854367
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.8",246.447623267523
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.85",259.534290759656
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.9",276.007008961986
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.95",298.286392495894
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.975",316.589007053348
2026-08-26,"ARI incidence",2026-08-23,1,"BG","quantile","0.99",335.441411399605
2026-08-26,"ARI incidence",2026-08-23,1,"DE","median","",510.361494624488
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.01",215.149681303186
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.025",258.818357592414
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.05",312.291734276719
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.1",353.598506126906
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.15",379.436601134
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.2",401.135033465313
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.25",418.618512601944
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.3",433.957725883725
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.35",448.037470848733
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.4",462.255183288384
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.45",482.043441897165
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.5",501.62279795644
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.55",520.303895843117
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.6",535.011305203849
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.65",549.153583964626
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.7",565.828945248317
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.75",583.672991994718
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.8",604.186455716983
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.85",627.696250112522
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.9",661.457458839952
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.95",720.03118340016
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.975",806.57005445956
2026-08-26,"ARI incidence",2026-08-23,1,"DE","quantile","0.99",876.056921773479
2026-08-26,"ARI incidence",2026-08-23,1,"EE","median","",107.932031795672
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.01",21.5902757299068
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.025",35.6929906798922
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.05",46.4820058207926
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.1",59.5239743020974
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.15",68.8339494752461
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.2",76.0687611294921
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.25",82.253247619334
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.3",87.8952271428883
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.35",93.2668860283251
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.4",98.4076780894745
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.45",103.301992585026
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.5",108.304445512068
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.55",113.254053020779
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.6",118.397492923562
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.65",122.985548740755
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.7",127.929641719461
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.75",133.395520462494
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.8",139.845975834259
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.85",147.676790734051
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.9",158.264015136646
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.95",177.690426156596
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.975",196.000407860298
2026-08-26,"ARI incidence",2026-08-23,1,"EE","quantile","0.99",211.900774916286
2026-08-26,"ARI incidence",2026-08-23,1,"ES","median","",213.288621572077
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.01",147.896069042177
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.025",159.563862036589
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.05",173.691059795901
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.1",184.070668587642
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.15",189.943332972867
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.2",194.52396826977
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.25",198.43154099698
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.3",202.291865943508
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.35",205.707817648109
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.4",209.002900181998
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.45",212.698434069094
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.5",218.875017665326
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.55",224.278225267918
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.6",228.475718044581
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.65",233.843088288906
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.7",240.039163542649
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.75",245.654800226453
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.8",252.892249293193
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.85",261.290431826509
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.9",271.921668844695
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.95",288.160625861966
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.975",311.591362952068
2026-08-26,"ARI incidence",2026-08-23,1,"ES","quantile","0.99",330.383277148224
2026-08-26,"ARI incidence",2026-08-23,1,"FI","median","",1639.00757406591
2026-08-26,"ARI incidence",2026-08-23,1,"FI","quantile","0.01",1297.27654345111
2026-08-26,"ARI incidence",2026-08-23,1,"FI","quantile","0.025",1348.40308380086
2026-08-26,"ARI incidence",2026-08-23,1,"FI","quantile","0.05",1392.9364831295
2026-08-26,"ARI incidence",2026-08-23,1,"FI","quantile","0.1",1445.02437891019
2026-08-26,"ARI incidence",2026-08-23,1,"FI","quantile","0.15",1478.45512579229
