origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.010,0.0
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.025,0.0
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.050,0.0
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.100,0.0
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.150,0.0
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.200,0.0
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.250,0.0
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.300,78.98000000000074
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.350,493.295
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.400,898.1600000000005
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.450,1280.1650000000009
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.500,1636.2000000000003
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.550,2031.8450000000005
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.600,2416.939999999999
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.650,2814.9049999999997
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.700,3237.349999999999
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.750,3723.9750000000013
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.800,4242.340000000001
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.850,4853.8150000000005
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.900,5656.63
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.950,6783.389999999996
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.975,7788.222499999996
2025-09-10,ILI incidence,1,2025-09-07,AT,quantile,0.990,9007.834000000004
2025-09-10,ILI incidence,1,2025-09-07,AT,median,,1636.2000000000003
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.010,0.0
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.025,0.0
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.050,0.0
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.100,0.0
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.150,0.0
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.200,0.0
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.250,0.0
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.300,57.62000000000044
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.350,469.06500000000057
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.400,878.0000000000009
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.450,1254.7749999999999
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.500,1660.900000000001
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.550,2045.7800000000007
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.600,2438.5799999999995
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.650,2832.4450000000015
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.700,3263.36
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.750,3759.4249999999997
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.800,4292.64
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.850,4916.399999999998
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.900,5700.68
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.950,6869.949999999999
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.975,7929.017499999998
2025-09-10,ILI incidence,2,2025-09-14,AT,quantile,0.990,9134.599999999999
2025-09-10,ILI incidence,2,2025-09-14,AT,median,,1660.900000000001
2025-09-10,ILI incidence,3,2025-09-21,AT,quantile,0.010,0.0
2025-09-10,ILI incidence,3,2025-09-21,AT,quantile,0.025,0.0
2025-09-10,ILI incidence,3,2025-09-21,AT,quantile,0.050,0.0
2025-09-10,ILI incidence,3,2025-09-21,AT,quantile,0.100,0.0
2025-09-10,ILI incidence,3,2025-09-21,AT,quantile,0.150,0.0
2025-09-10,ILI incidence,3,2025-09-21,AT,quantile,0.200,0.0
2025-09-10,ILI incidence,3,2025-09-21,AT,quantile,0.250,0.0
2025-09-10,ILI incidence,3,2025-09-21,AT,quantile,0.300,0.0
