"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.01",646.604955682975
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.025",683.564609896983
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.05",717.037331469179
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.1",757.668533040218
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.15",786.375107195022
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.2",809.963909684151
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.25",830.76412956096
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.3",849.898209352893
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.35",868.021957459358
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.4",885.576856869451
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.45",902.89926812264
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.5",920.277826145465
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.55",937.990878047746
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.6",956.338538801575
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.65",975.6795551277
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.7",996.48554141543
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.75",1019.43650087853
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.8",1045.61606655447
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.85",1076.98128990366
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.9",1117.78599791747
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.95",1181.12577982479
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.975",1238.96302563507
2025-12-24,"ARI incidence",2025-12-21,1,"BE","quantile","0.99",1309.7816059892
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.01",447.591871506751
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.025",488.531509786114
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.05",526.724612746129
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.1",574.479160062077
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.15",609.121588873868
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.2",638.138169939348
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.25",664.130964727892
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.3",688.374372409071
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.35",711.628794134392
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.4",734.420938737531
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.45",757.167164236106
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.5",780.240467718688
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.55",804.016888503163
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.6",828.918615136928
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.65",855.467334210917
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.7",884.366431794048
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.75",916.649305329868
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.8",953.986481522862
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.85",999.431309915263
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.9",1059.69934122605
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.95",1155.77509145048
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.975",1246.13290088987
2025-12-24,"ARI incidence",2025-12-28,2,"BE","quantile","0.99",1360.11225006506
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.01",454.287464200335
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.025",503.514564382869
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.05",550.098431635293
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.1",609.18030737961
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.15",652.587170835304
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.2",689.280961499259
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.25",722.400966414133
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.3",753.497847204041
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.35",783.507430319859
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.4",813.0879934868
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.45",842.770051212608
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.5",873.039229832066
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.55",904.395565230505
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.6",937.410837364852
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.65",972.801874405465
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.7",1011.54568610117
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.75",1055.0892541149
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.8",1105.78637652766
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.85",1167.962734925
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.9",1251.18538401932
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.95",1385.56566060362
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.975",1513.75461752522
2025-12-24,"ARI incidence",2026-01-04,3,"BE","quantile","0.99",1677.78676914943
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.01",695.450897500966
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.025",725.942391473339
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.05",753.233931464685
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.1",785.975136984802
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.15",808.8657678984
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.2",827.533049354189
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.25",843.890880577577
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.3",858.856103622614
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.35",872.960412398053
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.4",886.558135511531
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.45",899.915651837766
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.5",913.257867146481
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.55",926.797895115728
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.6",940.761692321182
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.65",955.415526362533
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.7",971.105553522876
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.75",988.326750650635
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.8",1007.86298813785
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.85",1031.12279565489
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.9",1061.15307298972
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.95",1107.27875772023
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.975",1148.90649960834
2025-12-24,"ARI incidence",2026-01-11,4,"BE","quantile","0.99",1199.27939542817
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.01",363.904069512888
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.025",419.159159135426
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.05",473.346868964826
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.1",544.57181404925
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.15",598.587539130378
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.2",645.313577341443
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.25",688.296723871576
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.3",729.331494338061
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.35",769.537007783967
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.4",809.735616204181
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.45",850.625765894872
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.5",892.883116068573
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.55",937.239725064777
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.6",984.568596225974
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.65",1035.99989460693
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.7",1093.11097237601
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.75",1158.27989776845
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.8",1235.43078427822
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.85",1331.86911995954
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.9",1463.97635425219
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.95",1684.26224240973
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.975",1901.9988984727
2025-12-24,"ARI incidence",2025-12-21,1,"BG","quantile","0.99",2190.79786611754
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.01",347.948249847752
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.025",400.104869523105
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.05",451.174015001242
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.1",518.194771234209
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.15",568.951485786908
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.2",612.814015620132
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.25",653.129470902343
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.3",691.589397805292
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.35",729.247033832261
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.4",766.87471823825
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.45",805.126841878154
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.5",844.634907091274
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.55",886.081657162104
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.6",930.279887066829
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.65",978.280463518734
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.7",1031.54867402686
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.75",1092.29204630969
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.8",1164.15112594179
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.85",1253.89975085553
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.9",1376.71811040842
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.95",1581.22609582274
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.975",1783.05284593865
2025-12-24,"ARI incidence",2025-12-28,2,"BG","quantile","0.99",2050.32825021895
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.01",387.423723321672
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.025",439.556481428782
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.05",489.970805655541
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.1",555.312556042805
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.15",604.253041913174
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.2",646.207540175346
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.25",684.514812122304
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.3",720.84741874176
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.35",756.234255301098
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.4",791.417858064475
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.45",827.015626214717
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.5",863.611938177762
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.55",901.827675465848
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.6",942.391648309747
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.65",986.236175543512
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.7",1034.65110697766
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.75",1089.56821175389
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.8",1154.15796535084
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.85",1234.29346321821
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.9",1343.07350274583
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.95",1522.18371207912
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.975",1696.76847293626
2025-12-24,"ARI incidence",2026-01-04,3,"BG","quantile","0.99",1925.0901141743
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.01",377.211315372485
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.025",441.466891182412
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.05",505.418871251504
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.1",590.731681669445
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.15",656.286266941474
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.2",713.53725702627
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.25",766.61770354584
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.3",817.642492894059
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.35",867.951313773124
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.4",918.548754650208
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.45",970.308023868321
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.5",1024.09341903764
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.55",1080.86020636529
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.6",1141.76555746961
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.65",1208.32506878415
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.7",1282.67224371385
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.75",1368.04475824826
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.8",1469.81439383703
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.85",1598.03333353878
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.9",1775.37004271097
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.95",2075.04584923645
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.975",2375.64209652783
2025-12-24,"ARI incidence",2026-01-11,4,"BG","quantile","0.99",2780.31779052168
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.01",7953.7795610269
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.025",8403.90360074297
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.05",8811.3578856154
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.1",9305.7044550004
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.15",9654.81286876981
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.2",9941.59039661101
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.25",10194.3991609627
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.3",10426.9034366441
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.35",10647.0842372832
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.4",10860.3119220734
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.45",11070.6757307237
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.5",11281.682240949
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.55",11496.7105244102
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.6",11719.4013485981
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.65",11954.1041800022
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.7",12206.5342754058
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.75",12484.929437835
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.8",12802.41380988
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.85",13182.6847309948
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.9",13677.2401059172
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.95",14444.5788989598
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.975",15144.9088700269
2025-12-24,"ARI incidence",2025-12-14,0,"CY","quantile","0.99",16001.9966871336
2025-12-24,"ARI incidence",2025-12-21,1,"CY","quantile","0.01",7343.27636370146
2025-12-24,"ARI incidence",2025-12-21,1,"CY","quantile","0.025",7963.8131236292
2025-12-24,"ARI incidence",2025-12-21,1,"CY","quantile","0.05",8539.2912273663
2025-12-24,"ARI incidence",2025-12-21,1,"CY","quantile","0.1",9254.57898370333
2025-12-24,"ARI incidence",2025-12-21,1,"CY","quantile","0.15",9770.73057121495
2025-12-24,"ARI incidence",2025-12-21,1,"CY","quantile","0.2",10201.4057563008
