"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.01",540.508257697052
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.025",586.602388794076
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.05",629.377876330264
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.1",682.580709143915
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.15",720.994551853642
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.2",753.060662453705
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.25",781.704739783163
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.3",808.355366238443
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.35",833.861546467711
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.4",858.808186943464
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.45",883.654474003449
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.5",908.808552233499
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.55",934.6786655997
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.6",961.719970966137
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.65",990.491752631419
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.7",1021.74491456165
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.75",1056.57922048912
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.8",1096.76819649775
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.85",1145.54677630963
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.9",1210.01512868511
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.95",1312.30063158328
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.975",1407.99458098131
2026-02-04,"ARI incidence",2026-02-01,1,"BG","quantile","0.99",1528.0672826939
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.01",900.407349270056
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.025",930.17606722171
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.05",956.564837246204
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.1",987.919871129773
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.15",1009.653570742
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.2",1027.26732434602
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.25",1042.6230438351
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.3",1056.60847922273
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.35",1069.73547519501
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.4",1082.34247775673
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.45",1094.68129410255
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.5",1106.96181113327
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.55",1119.38009529252
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.6",1132.14114431427
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.65",1145.48360760315
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.7",1159.71476228249
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.75",1175.27083115309
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.8",1192.83892543505
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.85",1213.64841052057
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.9",1240.34801517469
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.95",1281.00511705518
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.975",1317.34678464414
2026-02-04,"ARI incidence",2026-02-08,2,"BG","quantile","0.99",1360.90009960584
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.01",822.655058219981
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.025",852.401416586244
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.05",878.843833055006
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.1",910.349884257917
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.15",932.242517284805
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.2",950.016971771032
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.25",965.535713662608
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.3",979.687950086112
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.35",992.987209739231
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.4",1005.77380364045
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.45",1018.3016740724
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.5",1030.7832649333
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.55",1043.41784592904
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.6",1056.41460875272
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.65",1070.01795073028
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.7",1084.5434397485
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.75",1100.44001918486
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.8",1118.41595554425
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.85",1139.74005644064
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.9",1167.14920014811
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.95",1208.99083466636
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.975",1246.49504164573
2026-02-04,"ARI incidence",2026-02-15,3,"BG","quantile","0.99",1291.56701663704
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.01",944.557058684142
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.025",963.416864259394
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.05",979.938267831725
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.1",999.338324359789
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.15",1012.64396813806
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.2",1023.34510823924
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.25",1032.61581262117
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.3",1041.01274577534
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.35",1048.85469600108
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.4",1056.35055566291
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.45",1063.6538710547
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.5",1070.89069196606
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.55",1078.17675030167
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.6",1085.63096596268
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.65",1093.38965493687
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.7",1101.6261604803
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.75",1110.58426582536
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.8",1120.64528857985
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.85",1132.48773529769
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.9",1147.56619073348
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.95",1170.28481465168
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.975",1190.35374683951
2026-02-04,"ARI incidence",2026-02-22,4,"BG","quantile","0.99",1214.12133189408
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.01",5022.37711947813
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.025",5773.32595142625
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.05",6508.39387916688
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.1",7472.7688845386
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.15",8202.92000647444
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.2",8833.77231628518
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.25",9413.5151176374
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.3",9966.49669286195
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.35",10507.8728136493
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.4",11048.7527554145
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.45",11598.5448360382
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.5",12166.3240065536
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.55",12761.8974556641
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.6",13396.9365691439
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.65",14086.5275453438
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.7",14851.7020969318
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.75",15724.1410867985
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.8",16756.0850034096
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.85",18044.725502091
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.9",19807.8439356927
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.95",22742.8521660691
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.975",25638.5038845545
2026-02-04,"ARI incidence",2026-01-25,0,"CY","quantile","0.99",29471.9883256839
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.01",5478.87314760959
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.025",6362.92221909974
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.05",7236.53081580736
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.1",8393.62051717532
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.15",9277.104878891
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.2",10045.1306336151
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.25",10754.507143815
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.3",11434.142213866
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.35",12102.2068507475
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.4",12772.1918090807
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.45",13455.6919286069
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.5",14164.0574739408
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.55",14909.7144308558
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.6",15707.6034500565
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.65",16577.1851860809
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.7",17545.7432986805
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.75",18654.5530578292
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.8",19971.9178816592
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.85",21625.337510368
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.9",23901.5480524266
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.95",27723.3012933307
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.975",31529.6207020875
2026-02-04,"ARI incidence",2026-02-01,1,"CY","quantile","0.99",36617.1142715047
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.01",5887.63983792779
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.025",6577.15304603904
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.05",7234.42092273296
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.1",8074.13343100009
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.15",8695.0801218232
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.2",9222.47267481218
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.25",9700.35014495097
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.3",10150.5655306574
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.35",10586.3889485173
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.4",11017.2328804621
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.45",11450.7612936802
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.5",11894.0686425322
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.55",12354.5382918205
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.6",12840.6897093143
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.65",13363.2789765467
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.7",13937.0430589305
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.75",14583.8930305936
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.8",15339.5812448042
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.85",16269.9902578476
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.9",17521.2448595546
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.95",19554.9678936604
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.975",21509.1344055715
2026-02-04,"ARI incidence",2026-02-08,2,"CY","quantile","0.99",24028.1119035058
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.01",7310.07095804138
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.025",8061.43445319158
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.05",8769.13392713008
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.1",9662.51158790715
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.15",10316.1389240097
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.2",10867.012910905
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.25",11362.9989410989
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.3",11827.6728767127
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.35",12275.2083169896
2026-02-04,"ARI incidence",2026-02-15,3,"CY","quantile","0.4",12715.5237209745
