origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
12/02/2025,hospital admissions,09/02/2025,1,CZ,median,,14.4
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.01,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.025,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.05,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.1,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.15,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.2,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.25,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.3,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.35,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.4,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.45,0
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.5,14.4
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.55,120.744182
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.6,228.8015731
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.65,340.487463
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.7,458.1875683
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.75,585.2044878
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.8,726.6438511
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.85,891.5087031
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.9,1098.946333
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.95,1406.400148
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.975,1673.070481
12/02/2025,hospital admissions,09/02/2025,1,CZ,quantile,0.99,1983.132373
12/02/2025,hospital admissions,16/02/2025,2,CZ,median,,10.07857143
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.01,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.025,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.05,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.1,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.15,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.2,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.25,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.3,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.35,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.4,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.45,0
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.5,10.07857143
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.55,126.9692589
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.6,245.7430602
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.65,368.5052106
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.7,497.878026
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.75,637.491635
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.8,792.9580094
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.85,974.1730561
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.9,1202.182964
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.95,1540.127995
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.975,1833.24491
12/02/2025,hospital admissions,16/02/2025,2,CZ,quantile,0.99,2174.056669
12/02/2025,hospital admissions,23/02/2025,3,CZ,median,,6.794285714
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.01,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.025,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.05,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.1,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.15,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.2,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.25,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.3,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.35,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.4,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.45,0
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.5,6.794285714
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.55,135.9892296
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.6,267.2655094
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.65,402.9499636
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.7,545.9409408
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.75,700.2506877
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.8,872.0819084
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.85,1072.372182
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.9,1324.383081
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.95,1697.901197
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.975,2021.872457
12/02/2025,hospital admissions,23/02/2025,3,CZ,quantile,0.99,2398.559062
12/02/2025,hospital admissions,02/03/2025,4,CZ,median,,3.452380952
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.01,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.025,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.05,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.1,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.15,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.2,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.25,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.3,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.35,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.4,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.45,0
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.5,3.452380952
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.55,146.7093322
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.6,292.2741589
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.65,442.7269603
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.7,601.2815511
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.75,772.3868839
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.8,962.9207861
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.85,1185.011319
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.9,1464.451923
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.95,1878.624992
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.975,2237.858362
12/02/2025,hospital admissions,02/03/2025,4,CZ,quantile,0.99,2655.54479
12/02/2025,hospital admissions,26/01/2025,-1,FR,median,,0.5
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.01,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.025,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.05,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.1,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.15,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.2,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.25,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.3,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.35,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.4,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.45,0
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.5,0.5
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.55,3.767195018
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.6,7.087024682
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.65,10.51833213
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.7,14.13441333
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.75,18.03673351
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.8,22.38215207
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.85,27.44726813
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.9,33.8203407
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.95,43.2661943
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.975,51.4590636
12/02/2025,hospital admissions,26/01/2025,-1,FR,quantile,0.99,60.98504473
12/02/2025,hospital admissions,02/02/2025,0,FR,median,,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.01,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.025,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.05,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.1,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.15,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.2,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.25,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.3,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.35,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.4,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.45,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.5,0
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.55,3.591401293
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.6,7.240660208
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.65,11.01245893
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.7,14.98736665
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.75,19.27691706
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.8,24.05353486
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.85,29.62126627
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.9,36.62674374
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.95,47.00991666
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.975,56.01577068
12/02/2025,hospital admissions,02/02/2025,0,FR,quantile,0.99,66.48702224
12/02/2025,hospital admissions,09/02/2025,1,FR,median,,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.01,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.025,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.05,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.1,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.15,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.2,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.25,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.3,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.35,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.4,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.45,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.5,0
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.55,3.969390624
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.6,8.002728294
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.65,12.17150289
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.7,16.5647634
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.75,21.30578223
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.8,26.58513153
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.85,32.73885791
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.9,40.48165085
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.95,51.95763637
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.975,61.91134234
12/02/2025,hospital admissions,09/02/2025,1,FR,quantile,0.99,73.48467665
12/02/2025,hospital admissions,16/02/2025,2,FR,median,,0
12/02/2025,hospital admissions,16/02/2025,2,FR,quantile,0.01,0
12/02/2025,hospital admissions,16/02/2025,2,FR,quantile,0.025,0
12/02/2025,hospital admissions,16/02/2025,2,FR,quantile,0.05,0
12/02/2025,hospital admissions,16/02/2025,2,FR,quantile,0.1,0
